scenario_id,outcome,pool_ideology_strength,pool_profitability_threshold,pool_max_loss_pct,pool_neutral_pct,econ_ideology_strength,user_ideology_strength,v27_hash_share,v27_econ_share,v27_block_share,total_reorgs,total_orphans,duration,econ_inertia,econ_switching_threshold,economic_nodes_per_partition,final_v26_economic,final_v26_hashrate,final_v26_price,final_v27_economic,final_v27_hashrate,final_v27_price,pool_v27_preference_pct,reorg_mass,solo_miner_hashrate,total_blocks,transaction_velocity,user_nodes_per_partition,user_switching_threshold,v26_blocks,v27_blocks,v27_economic_pct,v27_hashrate_pct,winning_fork
sweep_0027,v27_dominant,0.681,0.258,0.162,45.004,0.052,0.696,1.0,0.5500340053519982,0.9759358288770054,4,0,3600,0.199,0.05,3,44.99659946480019,0.0,53577.15155995644,55.00340053519982,98.36999999999999,66344.60844004356,48.685,36,0.087,374,0.226,8,0.156,9,365,30.321,44.835,v27
sweep_0028,v27_dominant,0.287,0.222,0.266,42.907,0.241,0.237,1.0,0.9999982911883418,0.9685863874345549,3,0,3600,0.109,0.103,1,0.00017088116581966578,0.0,48230.175731791154,99.99982911883419,98.36999999999999,71691.58426820886,67.799,36,0.074,382,0.52,8,0.095,12,370,35.399,67.888,v27
sweep_0029,v27_dominant,0.593,0.23,0.389,25.815,0.355,0.568,1.0,0.5500340053519982,0.8177339901477833,5,0,3600,0.213,0.162,1,44.99659946480019,0.0,54940.23754597363,55.00340053519982,98.36999999999999,64981.52245402638,50.08,256,0.098,406,0.754,8,0.187,74,332,70.441,55.549,v27
sweep_0030,v27_dominant,0.36,0.123,0.46,31.783,0.5,0.183,1.0,0.5500340053519982,0.9633507853403142,5,0,3600,0.238,0.235,1,44.99659946480019,0.0,53677.473478010026,55.00340053519982,98.36999999999999,66244.28652198998,40.486,70,0.062,382,0.409,10,0.118,14,368,57.405,42.17,v27
sweep_0031,v27_dominant,0.134,0.255,0.324,45.696,0.725,0.612,1.0,0.5500340053519982,0.9263959390862944,5,0,3600,0.131,0.113,1,44.99659946480019,0.0,53968.931208645125,55.00340053519982,98.36999999999999,65952.82879135487,14.111,145,0.049,394,0.21,4,0.179,29,365,53.017,20.445,v27
sweep_0032,v27_dominant,0.163,0.163,0.313,37.818,0.333,0.752,1.0,0.5500340053519982,0.973404255319149,4,0,3600,0.22,0.219,3,44.99659946480019,0.0,53595.452239222286,55.00340053519982,98.36999999999999,66326.30776077772,51.373,40,0.038,376,0.84,7,0.079,10,366,49.347,58.948,v27
sweep_0033,v27_dominant,0.403,0.284,0.153,40.849,0.766,0.728,1.0,0.9999982911883418,0.968503937007874,3,0,3600,0.183,0.026,3,0.00017088116581966578,0.0,48230.2597277091,99.99982911883419,98.36999999999999,71691.50027229091,56.563,36,0.105,381,0.296,4,0.197,12,369,78.256,75.841,v27
sweep_0034,v27_dominant,0.17,0.035,0.286,17.871,0.523,0.283,1.0,0.5500340053519982,0.9557291666666666,5,0,3600,0.137,0.212,3,44.99659946480019,0.0,53739.96003818004,55.00340053519982,98.36999999999999,66181.79996181997,43.289,85,0.057,384,0.261,4,0.105,17,367,48.04,47.125,v27
sweep_0035,v27_dominant,0.807,0.181,0.087,13.19,0.617,0.885,1.0,0.5500340053519982,0.8853658536585366,6,0,3600,0.081,0.095,1,44.99659946480019,0.0,54303.63910028936,55.00340053519982,98.36999999999999,65618.12089971064,38.121,232,0.149,410,0.772,2,0.083,47,363,79.022,53.234,v27
sweep_0036,v27_dominant,0.546,0.138,0.103,32.937,0.693,0.135,1.0,0.5500340053519982,0.9707446808510638,4,0,3600,0.059,0.249,2,44.99659946480019,0.0,53614.50140455762,55.00340053519982,98.36999999999999,66307.25859544238,60.452,44,0.11,376,0.188,8,0.15,11,365,38.22,64.547,v27
sweep_0037,v27_dominant,0.621,0.044,0.4,13.32,0.408,0.785,1.0,0.5500340053519982,0.8382352941176471,5,0,3600,0.101,0.205,2,44.99659946480019,0.0,54745.75511124735,55.00340053519982,98.36999999999999,65176.00488875266,54.924,222,0.045,408,0.716,5,0.164,66,342,44.734,69.977,v27
sweep_0038,v26_dominant,0.848,0.236,0.421,23.6,0.081,0.272,0.2733556978753685,0.5500340053519982,0.20140515222482436,5,64,3600,0.262,0.087,3,44.99659946480019,71.48,62448.987887728974,55.00340053519982,26.89,57472.77211227103,18.576,386,0.091,427,0.854,10,0.138,341,86,46.751,39.442,v26
sweep_0039,v27_dominant,0.434,0.108,0.131,47.709,0.578,0.419,1.0,0.5500340053519982,0.9685863874345549,3,0,3600,0.171,0.122,2,44.99659946480019,0.0,53629.74716182728,55.00340053519982,98.36999999999999,66292.01283817273,64.304,36,0.025,382,0.286,8,0.16,12,370,77.024,63.589,v27
sweep_0040,v27_dominant,0.634,0.274,0.36,46.97,0.289,0.167,0.8842126664633526,0.5500340053519982,0.9505208333333334,5,35,3600,0.224,0.168,3,44.99659946480019,11.39,54312.816885413435,55.00340053519982,86.98,65608.94311458658,48.017,349,0.146,384,0.889,7,0.056,19,365,29.439,23.199,v27
sweep_0041,v27_dominant,0.772,0.242,0.195,28.76,0.628,0.101,1.0,0.5500340053519982,0.6872037914691943,6,0,3600,0.255,0.194,2,44.99659946480019,0.0,56141.86727245508,55.00340053519982,98.36999999999999,63779.89272754493,21.08,480,0.115,422,0.478,7,0.154,132,290,37.018,22.003,v27
sweep_0042,v27_dominant,0.522,0.156,0.136,36.137,0.119,0.128,1.0,0.5500340053519982,0.6872037914691943,6,0,3600,0.178,0.167,3,44.99659946480019,0.0,56141.86727245508,55.00340053519982,98.36999999999999,63779.89272754493,24.236,480,0.077,422,0.811,3,0.166,132,290,56.729,66.028,v27
sweep_0043,v27_dominant,0.223,0.197,0.225,40.042,0.542,0.375,1.0,0.5500340053519982,0.8916256157635468,5,0,3600,0.096,0.082,1,44.99659946480019,0.0,54252.88875121039,55.00340053519982,98.36999999999999,65668.87124878961,22.698,175,0.069,406,0.233,9,0.193,44,362,35.855,33.507,v27
sweep_0044,v27_dominant,0.864,0.206,0.254,49.48,0.348,0.548,1.0,0.5500340053519982,0.9708222811671088,4,0,3600,0.279,0.239,1,44.99659946480019,0.0,53614.45671982969,55.00340053519982,98.36999999999999,66307.30328017031,36.796,44,0.141,377,0.325,6,0.174,11,366,62.97,68.327,v27
sweep_0045,v27_dominant,0.697,0.28,0.205,31.285,0.569,0.663,1.0,0.5500340053519982,0.6872037914691943,6,0,3600,0.094,0.197,2,44.99659946480019,0.0,56141.86727245508,55.00340053519982,98.36999999999999,63779.89272754493,28.71,480,0.034,422,0.111,7,0.168,132,290,31.65,79.123,v27
sweep_0046,v26_dominant,0.579,0.025,0.181,21.892,0.287,0.866,0.0,0.5500340053519982,0.021052631578947368,3,8,3600,0.281,0.053,1,44.99659946480019,98.36999999999999,65168.63356139576,55.00340053519982,0.0,54753.126438604246,13.406,24,0.066,380,0.498,9,0.178,372,8,60.739,76.982,v26
sweep_0047,v26_dominant,0.826,0.084,0.301,33.695,0.707,0.402,0.0,0.5500340053519982,0.03116883116883117,3,12,3600,0.153,0.203,1,44.99659946480019,98.36999999999999,65093.208880495535,55.00340053519982,0.0,54828.551119504475,11.004,36,0.133,385,0.688,9,0.122,373,12,72.691,57.327,v26
sweep_0048,v27_dominant,0.893,0.07,0.41,24.397,0.644,0.426,1.0,0.5500340053519982,0.8177339901477833,5,0,3600,0.123,0.099,2,44.99659946480019,0.0,54940.23754597363,55.00340053519982,98.36999999999999,64981.52245402638,46.893,256,0.103,406,0.384,2,0.051,74,332,50.942,36.933,v27
sweep_0049,v27_dominant,0.439,0.146,0.347,36.816,0.035,0.462,1.0,0.5500340053519982,0.6872037914691943,6,0,3600,0.249,0.134,2,44.99659946480019,0.0,56141.86727245508,55.00340053519982,98.36999999999999,63779.89272754493,27.889,480,0.095,422,0.164,3,0.1,132,290,41.03,48.248,v27
