scenario_id,outcome,economic_split,hashrate_split,pool_ideology_strength,pool_profitability_threshold,pool_max_loss_pct,pool_committed_split,pool_neutral_pct,econ_ideology_strength,user_ideology_strength,v27_hash_share,v27_econ_share,v27_block_share,total_reorgs,total_orphans,duration,econ_inertia,econ_switching_threshold,economic_nodes_per_partition,final_v26_economic,final_v26_hashrate,final_v26_price,final_v27_economic,final_v27_hashrate,final_v27_price,reorg_mass,solo_miner_hashrate,total_blocks,transaction_velocity,user_nodes_per_partition,user_switching_threshold,v26_blocks,v26_fork_valuation,v26_pool_opportunity_cost,v27_blocks,v27_fork_valuation,v27_pool_opportunity_cost,winning_fork
sweep_0010,v27_dominant,0.5,0.25,0.51,0.16,0.26,0.3,30.0,0.4,0.49,1.0,0.5012210820410434,0.6128226477935054,10,0,1800,0.17,0.14,2,49.87789179589566,0.0,56925.88838465713,50.12210820410434,86.4,62421.311615342885,3592,0.085,1201,0.5,6,0.12,465,141646273271.35706,0,736,156080794352.51727,1975095.0220590234,v27
sweep_0011,v27_dominant,0.5,0.25,0.51,0.16,0.26,0.38,30.0,0.4,0.49,1.0,0.5012210820410434,0.6126878130217028,10,0,1800,0.17,0.14,2,49.87789179589566,0.0,56912.451637463215,50.12210820410434,86.4,62434.74836253679,3585,0.085,1198,0.5,6,0.12,464,141612839183.30124,0,734,156114392143.4202,1975095.0220590234,v27
sweep_0012,v27_dominant,0.5,0.25,0.51,0.16,0.26,0.43,30.0,0.4,0.49,1.0,0.5012210820410434,0.6131996658312447,10,0,1800,0.17,0.14,2,49.87789179589566,0.0,56914.9511106479,50.12210820410434,86.4,62432.248889352115,3578,0.085,1197,0.5,6,0.12,463,141619058516.39902,0,734,156108142358.69073,1975095.0220590234,v27
sweep_0013,v27_dominant,0.5,0.25,0.51,0.16,0.26,0.47,30.0,0.4,0.49,1.0,0.5012210820410434,0.6122278056951423,10,0,1800,0.17,0.14,2,49.87789179589566,0.0,56915.86451348139,50.12210820410434,86.4,62431.33548651861,3578,0.085,1194,0.5,6,0.12,463,141621331297.92307,0,731,156105858448.979,1975095.0220590234,v27
sweep_0014,v27_dominant,0.5,0.25,0.51,0.16,0.26,0.52,30.0,0.4,0.49,1.0,0.5012210820410434,0.6130108423686406,10,0,1800,0.17,0.14,2,49.87789179589566,0.0,56904.84968219497,50.12210820410434,86.4,62442.350317805045,3585,0.085,1199,0.5,6,0.12,464,141593923560.4822,0,735,156133400382.5327,1975095.0220590234,v27
sweep_0015,v27_dominant,0.5,0.25,0.51,0.16,0.26,0.58,30.0,0.4,0.49,1.0,0.5012210820410434,0.6230452674897119,8,0,1800,0.17,0.14,2,49.87789179589566,0.0,56813.46676104805,50.12210820410434,86.4,62533.733238951965,2976,0.085,1215,0.5,6,0.12,458,141366539314.25583,0,757,156361897966.99167,2277942.9254414067,v27
sweep_0016,v27_dominant,0.5,0.25,0.51,0.16,0.26,0.65,30.0,0.4,0.49,1.0,0.5012210820410434,0.6325350949628407,4,0,1800,0.17,0.14,2,49.87789179589566,0.0,56743.28243625906,50.12210820410434,86.4,62603.91756374095,1776,0.085,1211,0.5,6,0.12,445,141191902636.10245,0,766,156537389716.21448,2508370.6780149587,v27
sweep_0017,v27_dominant,0.5,0.25,0.51,0.16,0.26,0.75,30.0,0.4,0.49,1.0,0.5012210820410434,0.6307947019867549,4,0,1800,0.17,0.14,2,49.87789179589566,0.0,56757.93334812223,50.12210820410434,86.4,62589.26665187778,1780,0.085,1208,0.5,6,0.12,446,141228357878.59988,0,762,156500755978.4346,2435917.2099757297,v27
sweep_0018,v27_dominant,0.6,0.25,0.51,0.16,0.26,0.2,30.0,0.4,0.49,1.0,0.6214929353977099,0.5914529914529915,12,0,1800,0.17,0.14,2,37.850706460229006,0.0,55630.719444730865,62.14929353977099,86.4,63716.48055526914,3612,0.085,1170,0.5,6,0.12,478,105045127672.36646,0,692,197549175945.9631,6489857.794789514,v27
sweep_0019,v26_dominant,0.6,0.25,0.51,0.16,0.26,0.3,30.0,0.4,0.49,0.0,0.6214929353977099,0.3448844884488449,8,0,1800,0.17,0.14,2,37.850706460229006,86.4,61365.56847139206,62.14929353977099,0.0,57981.63152860795,1887,0.085,1212,0.5,6,0.12,794,115873999817.11507,3467176.196006277,418,179768616041.86246,0,v26
sweep_0020,v26_dominant,0.6,0.25,0.51,0.16,0.26,0.38,30.0,0.4,0.49,0.0,0.6214929353977099,0.3467874794069193,8,0,1800,0.17,0.14,2,37.850706460229006,86.4,61347.439767925855,62.14929353977099,0.0,57999.76023207415,1893,0.085,1214,0.5,6,0.12,793,115839768155.37944,3467176.196006277,421,179824823013.74017,0,v26
sweep_0021,v26_dominant,0.6,0.25,0.51,0.16,0.26,0.43,30.0,0.4,0.49,0.0,0.6214929353977099,0.34325889164598844,8,0,1800,0.17,0.14,2,37.850706460229006,86.4,61377.30473364993,62.14929353977099,0.0,57969.895266350075,1878,0.085,1209,0.5,6,0.12,794,115896160903.28436,3535446.052093228,415,179732228455.51865,0,v26
sweep_0022,v26_dominant,0.6,0.25,0.51,0.16,0.26,0.47,30.0,0.4,0.49,0.0,0.6214929353977099,0.34761120263591433,8,0,1800,0.17,0.14,2,37.850706460229006,86.4,61349.07576874715,62.14929353977099,0.0,57998.124231252856,1899,0.085,1214,0.5,6,0.12,792,115842857346.33113,3467176.196006277,422,179819750690.045,0,v26
sweep_0023,v26_dominant,0.6,0.25,0.51,0.16,0.26,0.52,30.0,0.4,0.49,0.0,0.6214929353977099,0.34761120263591433,8,0,1800,0.17,0.14,2,37.850706460229006,86.4,61350.195113373506,62.14929353977099,0.0,57997.0048866265,1899,0.085,1214,0.5,6,0.12,792,115844970957.30649,3535446.052093228,422,179816280228.29617,0,v26
