timestamps,v27_price,v26_price,v27_hashrate,v26_hashrate,v27_economic,v26_economic,v27_blocks,v26_blocks,v27_difficulty,v26_difficulty,v27_chainwork,v26_chainwork,v27_fee_rate,v26_fee_rate,v27_fee_revenue_btc,v26_fee_revenue_btc,v27_congestion,v26_congestion,v27_mempool_mb,v26_mempool_mb,v27_transactional,v26_transactional,v27_solo_hashrate,v26_solo_hashrate,v27_block_time_s,v26_block_time_s
0,60000,60000,38.1,48.3,56.737060138721,43.262939861279,0,0,1.0,1.0,0.0,0.0,1.0,1.0,0.01,0.01,0.009927744556206649,0.005971420270707937,0,0,56.74589100306744,43.25410899693257,4.845,15.129999999999999,None,None
60,60000,60000,38.1,48.3,56.737060138721,43.262939861279,9,17,1.0,1.0,9.0,17.0,1.0,1.0,0.01,0.01,0.009927744556206649,0.005971420270707937,0,0,56.74589100306744,43.25410899693257,4.845,15.129999999999999,6.666666666666667,3.5294117647058822
121,59129.55490895421,60217.64509104579,38.1,48.3,56.737060138721,43.262939861279,21,29,1.0,1.0,21.0,29.0,0.009929289764316262,0.005970201379838864,9.929289764316261e-05,5.9702013798388646e-05,0.009927744556206649,0.005971420270707937,0,0,56.74589100306744,43.25410899693257,4.845,15.129999999999999,5.083333333333333,5.083333333333333
181,59661.247216646516,59685.95278335348,38.1,48.3,56.737060138721,43.262939861279,29,39,1.0,1.0,29.0,39.0,0.009929289764316262,0.005970201379838864,9.929289764316261e-05,5.9702013798388646e-05,0.009927744556206649,0.005971420270707937,0,0,56.74589100306744,43.25410899693257,4.845,15.129999999999999,7.5,6.0
242,59707.83545194064,59639.36454805937,38.1,48.3,56.737060138721,43.262939861279,41,52,1.0,1.0,41.0,52.0,0.009929289764316262,0.005970201379838864,9.929289764316261e-05,5.9702013798388646e-05,0.009927744556206649,0.005971420270707937,0,0,56.74589100306744,43.25410899693257,4.845,15.129999999999999,5.083333333333333,4.6923076923076925
302,59811.44076503362,59535.75923496639,38.1,48.3,56.737060138721,43.262939861279,53,66,1.0,1.0,53.0,66.0,0.009929289764316262,0.005970201379838864,9.929289764316261e-05,5.9702013798388646e-05,0.009927744556206649,0.005971420270707937,0,0,56.74589100306744,43.25410899693257,4.845,15.129999999999999,5.0,4.285714285714286
363,59843.969905722144,59503.23009427786,38.1,48.3,56.737060138721,43.262939861279,60,76,1.0,1.0,60.0,76.0,0.009929289764316262,0.005970201379838864,9.929289764316261e-05,5.9702013798388646e-05,0.009927744556206649,0.005971420270707937,0,0,56.74589100306744,43.25410899693257,4.845,15.129999999999999,8.714285714285714,6.1
423,59813.71780488182,59533.482195118195,38.1,48.3,56.737060138721,43.262939861279,75,86,1.0,1.0,75.0,86.0,0.009929289764316262,0.005970201379838864,9.929289764316261e-05,5.9702013798388646e-05,0.009927744556206649,0.005971420270707937,0,0,56.74589100306744,43.25410899693257,4.845,15.129999999999999,4.0,6.0
483,59991.284483727264,59355.91551627274,38.1,48.3,56.737060138721,43.262939861279,86,104,1.0,1.0,86.0,104.0,0.009929289764316262,0.005970201379838864,9.929289764316261e-05,5.9702013798388646e-05,0.009927744556206649,0.005971420270707937,0,0,56.74589100306744,43.25410899693257,4.845,15.129999999999999,5.454545454545454,3.3333333333333335
555,59896.19458506757,59451.00541493243,38.1,48.3,56.737060138721,43.262939861279,98,117,1.0,1.0,98.0,117.0,0.009929289764316262,0.005970201379838864,9.929289764316261e-05,5.9702013798388646e-05,0.009927744556206649,0.005971420270707937,0,0,56.74589100306744,43.25410899693257,4.845,15.129999999999999,6.0,5.538461538461538
616,59919.107681762805,59428.092318237206,50.5,35.9,56.737060138721,43.262939861279,116,132,1.0,1.0,116.0,132.0,0.009929289764316262,0.005970201379838864,9.929289764316261e-05,5.9702013798388646e-05,0.007490040942405412,0.008033972119086167,0,0,56.74589100306744,43.25410899693257,4.845,15.129999999999999,3.388888888888889,4.066666666666666
676,60600.1891521304,58747.01084786961,50.5,35.9,56.737060138721,43.262939861279,126,143,1.0,1.0,126.0,143.0,0.0074912067330782095,0.008032332218557581,7.49120673307821e-05,8.032332218557582e-05,0.007490040942405412,0.008033972119086167,0,0,56.74589100306744,43.25410899693257,4.845,15.129999999999999,6.0,5.454545454545454
743,60604.937922966215,58742.26207703378,50.5,35.9,56.737060138721,43.262939861279,127,150,1.0,1.0,127.0,150.0,0.0074912067330782095,0.008032332218557581,7.49120673307821e-05,8.032332218557582e-05,0.007490040942405412,0.008033972119086167,0,0,56.74589100306744,43.25410899693257,4.845,15.129999999999999,67.0,9.571428571428571
804,60533.530249137504,58813.66975086251,50.5,35.9,56.737060138721,43.262939861279,143,155,1.0,1.0,143.0,155.0,0.0074912067330782095,0.008032332218557581,7.49120673307821e-05,8.032332218557582e-05,0.007490040942405412,0.008033972119086167,0,0,56.74589100306744,43.25410899693257,4.845,15.129999999999999,3.8125,12.2
867,60687.480773693496,58659.71922630651,50.5,35.9,56.737060138721,43.262939861279,146,159,1.0,1.0,146.0,159.0,0.0074912067330782095,0.008032332218557581,7.49120673307821e-05,8.032332218557582e-05,0.007490040942405412,0.008033972119086167,0,0,56.74589100306744,43.25410899693257,4.845,15.129999999999999,21.0,15.75
929,60679.0045936957,58668.195406304294,50.5,35.9,56.737060138721,43.262939861279,160,173,1.0,1.0,160.0,173.0,0.0074912067330782095,0.008032332218557581,7.49120673307821e-05,8.032332218557582e-05,0.007490040942405412,0.008033972119086167,0,0,56.74589100306744,43.25410899693257,4.845,15.129999999999999,4.428571428571429,4.428571428571429
989,60691.90667610598,58655.293323894024,50.5,35.9,56.737060138721,43.262939861279,176,182,1.0,1.0,176.0,182.0,0.0074912067330782095,0.008032332218557581,7.49120673307821e-05,8.032332218557582e-05,0.007490040942405412,0.008033972119086167,0,0,56.74589100306744,43.25410899693257,4.845,15.129999999999999,3.75,6.666666666666667
1050,60772.11202111579,58575.08797888421,50.5,35.9,56.737060138721,43.262939861279,189,189,1.0,1.0,189.0,189.0,0.0074912067330782095,0.008032332218557581,7.49120673307821e-05,8.032332218557582e-05,0.007490040942405412,0.008033972119086167,0,0,56.74589100306744,43.25410899693257,4.845,15.129999999999999,4.6923076923076925,8.714285714285714
1111,60832.44721664653,58514.752783353484,50.5,35.9,56.737060138721,43.262939861279,205,202,1.0,1.0,205.0,202.0,0.0074912067330782095,0.008032332218557581,7.49120673307821e-05,8.032332218557582e-05,0.007490040942405412,0.008033972119086167,0,0,56.74589100306744,43.25410899693257,4.845,15.129999999999999,3.8125,4.6923076923076925
1171,60858.982843182144,58488.21715681785,50.5,35.9,56.737060138721,43.262939861279,214,209,1.0,1.0,214.0,209.0,0.0074912067330782095,0.008032332218557581,7.49120673307821e-05,8.032332218557582e-05,0.007490040942405412,0.008033972119086167,0,0,56.74589100306744,43.25410899693257,4.845,15.129999999999999,6.666666666666667,8.571428571428571
1232,60875.00040813588,58472.199591864126,50.5,35.9,56.737060138721,43.262939861279,222,219,1.0,1.0,222.0,219.0,0.0074912067330782095,0.008032332218557581,7.49120673307821e-05,8.032332218557582e-05,0.007490040942405412,0.008033972119086167,0,0,56.74589100306744,43.25410899693257,4.845,15.129999999999999,7.625,6.1
1292,60856.937012564886,58490.26298743512,50.5,35.9,56.737060138721,43.262939861279,236,232,1.0,1.0,236.0,232.0,0.0074912067330782095,0.008032332218557581,7.49120673307821e-05,8.032332218557582e-05,0.007490040942405412,0.008033972119086167,0,0,56.74589100306744,43.25410899693257,4.845,15.129999999999999,4.285714285714286,4.615384615384615
1354,60863.216447415754,58483.98355258424,50.5,35.9,56.737060138721,43.262939861279,243,236,1.0,1.0,243.0,236.0,0.0074912067330782095,0.008032332218557581,7.49120673307821e-05,8.032332218557582e-05,0.007490040942405412,0.008033972119086167,0,0,56.74589100306744,43.25410899693257,4.845,15.129999999999999,8.857142857142858,15.5
1415,60885.056819986814,58462.14318001319,50.5,35.9,56.737060138721,43.262939861279,250,239,1.0,1.0,250.0,239.0,0.0074912067330782095,0.008032332218557581,7.49120673307821e-05,8.032332218557582e-05,0.007490040942405412,0.008033972119086167,0,0,56.74589100306744,43.25410899693257,4.845,15.129999999999999,8.714285714285714,20.333333333333332
1484,60913.42881173856,58433.77118826145,50.5,35.9,56.737060138721,43.262939861279,257,241,1.0,1.0,257.0,241.0,0.0074912067330782095,0.008032332218557581,7.49120673307821e-05,8.032332218557582e-05,0.007490040942405412,0.008033972119086167,0,0,56.74589100306744,43.25410899693257,4.845,15.129999999999999,9.857142857142858,34.5
1561,60948.109867248924,58399.09013275107,50.5,35.9,56.737060138721,43.262939861279,264,246,1.0,1.0,264.0,246.0,0.0074912067330782095,0.008032332218557581,7.49120673307821e-05,8.032332218557582e-05,0.007490040942405412,0.008033972119086167,0,0,56.74589100306744,43.25410899693257,4.845,15.129999999999999,11.0,15.4
1622,60959.50604017594,58387.69395982407,50.5,35.9,56.737060138721,43.262939861279,267,250,1.0,1.0,267.0,250.0,0.0074912067330782095,0.008032332218557581,7.49120673307821e-05,8.032332218557582e-05,0.007490040942405412,0.008033972119086167,0,0,56.74589100306744,43.25410899693257,4.845,15.129999999999999,20.333333333333332,15.25
1683,60950.82245842602,58396.37754157398,50.5,35.9,56.737060138721,43.262939861279,283,262,1.0,1.0,283.0,262.0,0.0074912067330782095,0.008032332218557581,7.49120673307821e-05,8.032332218557582e-05,0.007490040942405412,0.008033972119086167,0,0,56.74589100306744,43.25410899693257,4.845,15.129999999999999,3.8125,5.083333333333333
1747,60971.1628129768,58376.037187023205,50.5,35.9,56.737060138721,43.262939861279,289,274,1.0,1.0,288.0,274.0,0.0074912067330782095,0.008032332218557581,7.49120673307821e-05,8.032332218557582e-05,0.007490040942405412,0.008033972119086167,0,0,56.74589100306744,43.25410899693257,4.845,15.129999999999999,10.666666666666666,5.333333333333333
1810,60922.12693194901,58425.07306805099,50.5,35.9,56.737060138721,43.262939861279,296,283,1.0,1.0,295.0,283.0,0.0074912067330782095,0.008032332218557581,7.49120673307821e-05,8.032332218557582e-05,0.007490040942405412,0.008033972119086167,0,0,56.74589100306744,43.25410899693257,4.845,15.129999999999999,9.0,7.0
1880,60907.18770107559,58440.01229892441,50.5,35.9,56.737060138721,43.262939861279,304,291,1.0,1.0,303.0,291.0,0.0074912067330782095,0.008032332218557581,7.49120673307821e-05,8.032332218557582e-05,0.007490040942405412,0.008033972119086167,0,0,56.74589100306744,43.25410899693257,4.845,15.129999999999999,8.75,8.75
1941,60905.17448937379,58442.02551062621,50.5,35.9,56.737060138721,43.262939861279,324,300,1.0,1.0,323.0,300.0,0.0074912067330782095,0.008032332218557581,7.49120673307821e-05,8.032332218557582e-05,0.007490040942405412,0.008033972119086167,0,0,56.74589100306744,43.25410899693257,4.845,15.129999999999999,3.05,6.777777777777778
2023,60965.35251359677,58381.84748640324,50.5,35.9,56.737060138721,43.262939861279,332,307,1.0,1.0,331.0,307.0,0.0074912067330782095,0.008032332218557581,7.49120673307821e-05,8.032332218557582e-05,0.007490040942405412,0.008033972119086167,0,0,56.74589100306744,43.25410899693257,4.845,15.129999999999999,10.25,11.714285714285714
2084,60967.87041413868,58379.32958586132,50.5,35.9,56.737060138721,43.262939861279,343,318,1.0,1.0,342.0,318.0,0.0074912067330782095,0.008032332218557581,7.49120673307821e-05,8.032332218557582e-05,0.007490040942405412,0.008033972119086167,0,0,56.74589100306744,43.25410899693257,4.845,15.129999999999999,5.545454545454546,5.545454545454546
2144,60963.356307555616,58383.84369244439,50.5,35.9,56.737060138721,43.262939861279,357,327,1.0,1.0,356.0,327.0,0.0074912067330782095,0.008032332218557581,7.49120673307821e-05,8.032332218557582e-05,0.007490040942405412,0.008033972119086167,0,0,56.74589100306744,43.25410899693257,4.845,15.129999999999999,4.285714285714286,6.666666666666667
2204,60985.30226789103,58361.89773210897,50.5,35.9,56.737060138721,43.262939861279,362,339,1.0,1.0,361.0,339.0,0.0074912067330782095,0.008032332218557581,7.49120673307821e-05,8.032332218557582e-05,0.007490040942405412,0.008033972119086167,0,0,56.74589100306744,43.25410899693257,4.845,15.129999999999999,12.0,5.0
2265,60945.59007378939,58401.60992621063,50.5,35.9,56.737060138721,43.262939861279,380,346,1.0,1.0,379.0,346.0,0.0074912067330782095,0.008032332218557581,7.49120673307821e-05,8.032332218557582e-05,0.007490040942405412,0.008033972119086167,0,0,56.74589100306744,43.25410899693257,4.845,15.129999999999999,3.388888888888889,8.714285714285714
2326,60996.309285612035,58350.89071438796,50.5,35.9,56.737060138721,43.262939861279,390,351,1.0,1.0,389.0,351.0,0.0074912067330782095,0.008032332218557581,7.49120673307821e-05,8.032332218557582e-05,0.007490040942405412,0.008033972119086167,0,0,56.74589100306744,43.25410899693257,4.845,15.129999999999999,6.1,12.2
2386,61017.31208151138,58329.88791848862,50.5,35.9,56.737060138721,43.262939861279,398,360,1.0,1.0,397.0,360.0,0.0074912067330782095,0.008032332218557581,7.49120673307821e-05,8.032332218557582e-05,0.007490040942405412,0.008033972119086167,0,0,56.74589100306744,43.25410899693257,4.845,15.129999999999999,7.5,6.666666666666667
2484,61008.4049445197,58338.7950554803,50.5,35.9,56.737060138721,43.262939861279,411,372,1.0,1.0,410.0,372.0,0.0074912067330782095,0.008032332218557581,7.49120673307821e-05,8.032332218557582e-05,0.007490040942405412,0.008033972119086167,0,0,56.74589100306744,43.25410899693257,4.845,15.129999999999999,7.538461538461538,8.166666666666666
2565,61007.3832780276,58339.816721972406,50.5,35.9,56.737060138721,43.262939861279,412,373,1.0,1.0,411.0,373.0,0.0074912067330782095,0.008032332218557581,7.49120673307821e-05,8.032332218557582e-05,0.007490040942405412,0.008033972119086167,0,0,56.74589100306744,43.25410899693257,4.845,15.129999999999999,81.0,81.0
2655,61006.93701256488,58340.26298743511,50.5,35.9,56.737060138721,43.262939861279,412,375,1.0,1.0,411.0,375.0,0.0074912067330782095,0.008032332218557581,7.49120673307821e-05,8.032332218557582e-05,0.007490040942405412,0.008033972119086167,0,0,56.74589100306744,43.25410899693257,4.845,15.129999999999999,None,45.0
2730,60997.33271282972,58349.86728717027,50.5,35.9,56.737060138721,43.262939861279,413,375,1.0,1.0,412.0,375.0,0.0074912067330782095,0.008032332218557581,7.49120673307821e-05,8.032332218557582e-05,0.007490040942405412,0.008033972119086167,0,0,56.74589100306744,43.25410899693257,4.845,15.129999999999999,75.0,None
2809,61001.69753430853,58345.50246569147,50.5,35.9,56.737060138721,43.262939861279,413,381,1.0,1.0,412.0,381.0,0.0074912067330782095,0.008032332218557581,7.49120673307821e-05,8.032332218557582e-05,0.007490040942405412,0.008033972119086167,0,0,56.74589100306744,43.25410899693257,4.845,15.129999999999999,None,13.166666666666666
2879,60973.17861639432,58374.021383605694,50.5,35.9,56.737060138721,43.262939861279,420,388,1.0,1.0,419.0,388.0,0.0074912067330782095,0.008032332218557581,7.49120673307821e-05,8.032332218557582e-05,0.007490040942405412,0.008033972119086167,0,0,56.74589100306744,43.25410899693257,4.845,15.129999999999999,10.0,10.0
