scenario_id,outcome,economic_split,hashrate_split,pool_ideology_strength,pool_profitability_threshold,pool_max_loss_pct,pool_committed_split,pool_neutral_pct,econ_ideology_strength,user_ideology_strength,v27_hash_share,v27_econ_share,v27_block_share,total_reorgs,total_orphans,duration,econ_inertia,econ_switching_threshold,economic_nodes_per_partition,final_v26_economic,final_v26_hashrate,final_v26_price,final_v27_economic,final_v27_hashrate,final_v27_price,reorg_mass,solo_miner_hashrate,total_blocks,transaction_velocity,user_nodes_per_partition,user_switching_threshold,v26_blocks,v26_fork_valuation,v26_pool_opportunity_cost,v27_blocks,v27_fork_valuation,v27_pool_opportunity_cost,winning_fork
sweep_0016,v27_dominant,0.5,0.25,0.51,0.16,0.26,0.5,30,0.4,0.49,1.0,0.5012210820410434,0.6125,10,0,1800,0.17,0.14,2,49.87789179589566,0.0,56923.5308498088,50.12210820410434,86.4,62423.66915019121,3592,0.085,1200,0.5,6,0.12,465,141640407117.40057,0,735,156086689228.83945,1975095.0220590234,v27
sweep_0017,v27_dominant,0.55,0.25,0.51,0.16,0.26,0.5,30,0.4,0.49,1.0,0.5012210820410434,0.6125,10,0,1800,0.17,0.14,2,49.87789179589566,0.0,56923.5308498088,50.12210820410434,86.4,62423.66915019121,3592,0.085,1200,0.5,6,0.12,465,141640407117.40057,0,735,156086689228.83945,1918045.0472249836,v27
sweep_0018,v26_dominant,0.6,0.25,0.51,0.16,0.26,0.5,30,0.4,0.49,0.0,0.6214929353977099,0.3448844884488449,8,0,1800,0.17,0.14,2,37.850706460229006,86.4,61369.46737173293,62.14929353977099,0.0,57977.73262826707,1887,0.085,1212,0.5,6,0.12,794,115881361945.23738,3535446.052093228,418,179756527732.17047,0,v26
sweep_0019,v26_dominant,0.7,0.25,0.51,0.16,0.26,0.5,30,0.4,0.49,0.34722222222222227,0.7016741709688209,0.4581818181818182,7,0,1800,0.17,0.14,2,29.832582903117906,56.39999999999999,58113.039653179556,70.16741709688209,30.0,61234.16034682045,1469,0.085,1375,0.5,6,0.12,745,86487171760.68504,7422588.817990122,630,214346553231.75247,14403962.333542347,v26
sweep_0020,v27_dominant,0.82,0.25,0.51,0.16,0.26,0.5,30,0.4,0.49,1.0,0.8082766430950271,0.8481283422459893,4,0,1800,0.17,0.14,2,19.172335690497288,0.0,51656.080100032705,80.82766430950271,86.4,67691.1198999673,564,0.085,935,0.5,6,0.12,142,49406457811.67628,0,793,272947408557.02893,0,v27
sweep_0021,v26_dominant,0.35,0.25,0.51,0.16,0.26,0.5,40,0.4,0.49,0.0,0.30067963339166637,0.12594187298170076,4,0,1800,0.17,0.14,2,69.93203666083336,86.4,66632.39597446294,30.06796333916664,0.0,52714.804025537065,468,0.085,929,0.5,6,0.12,812,232460331891.62738,0,117,79072206038.3056,0,v26
sweep_0022,v27_dominant,0.45,0.25,0.51,0.16,0.26,0.5,40,0.4,0.49,1.0,0.5012210820410434,0.6130108423686406,10,0,1800,0.17,0.14,2,49.87789179589566,0.0,56905.5044482618,50.12210820410434,86.4,62441.69555173821,3585,0.085,1199,0.5,6,0.12,464,141595552787.1111,0,735,156131763178.74475,1975095.0220590234,v27
sweep_0023,v27_dominant,0.5,0.25,0.51,0.16,0.26,0.5,40,0.4,0.49,1.0,0.5012210820410434,0.6130108423686406,10,0,1800,0.17,0.14,2,49.87789179589566,0.0,56912.974027877426,50.12210820410434,86.4,62434.22597212257,3585,0.085,1199,0.5,6,0.12,464,141614139025.2091,0,735,156113085937.11496,1918045.0472249836,v27
sweep_0024,v27_dominant,0.55,0.25,0.51,0.16,0.26,0.5,40,0.4,0.49,1.0,0.5012210820410434,0.6121768140116765,10,0,1800,0.17,0.14,2,49.87789179589566,0.0,56921.63031565075,50.12210820410434,86.4,62425.56968434926,3592,0.085,1199,0.5,6,0.12,465,141635678098.87573,0,734,156091441401.99002,1918045.0472249836,v27
sweep_0025,v26_dominant,0.6,0.25,0.51,0.16,0.26,0.5,40,0.4,0.49,0.0,0.6214929353977099,0.36652719665271966,10,0,1800,0.17,0.14,2,37.850706460229006,86.4,61099.88807738702,62.14929353977099,0.0,58247.311922612986,2522,0.085,1195,0.5,6,0.12,757,115372326799.27766,2462009.7855802453,438,180592342375.19577,0,v26
sweep_0026,v26_dominant,0.7,0.25,0.51,0.16,0.26,0.5,40,0.4,0.49,0.0,0.7016741709688209,0.36622073578595316,10,0,1800,0.17,0.14,2,29.832582903117906,86.4,60146.44282989495,70.16741709688209,0.0,59200.75717010504,2522,0.085,1196,0.5,6,0.12,758,89513399451.6278,5168933.717263317,438,207228745789.12823,0,v26
sweep_0027,v27_dominant,0.82,0.25,0.51,0.16,0.26,0.5,40,0.4,0.49,1.0,0.8082766430950271,0.8478027867095391,4,0,1800,0.17,0.14,2,19.172335690497288,0.0,51654.04288410195,80.82766430950271,86.4,67693.15711589807,564,0.085,933,0.5,6,0.12,142,49404509316.49931,0,791,272955623117.66544,0,v27
sweep_0028,v26_dominant,0.35,0.25,0.51,0.16,0.26,0.5,50,0.4,0.49,0.0,0.30067963339166637,0.12607758620689655,4,0,1800,0.17,0.14,2,69.93203666083336,86.4,66634.7936063896,30.06796333916664,0.0,52712.4063936104,468,0.085,928,0.5,6,0.12,811,232468696506.24576,0,117,79068609590.4156,0,v26
sweep_0029,v27_dominant,0.45,0.25,0.51,0.16,0.26,0.5,50,0.4,0.49,1.0,0.5012210820410434,0.6125,10,0,1800,0.17,0.14,2,49.87789179589566,0.0,56923.5308498088,50.12210820410434,86.4,62423.66915019121,3592,0.085,1200,0.5,6,0.12,465,141640407117.40057,0,735,156086689228.83945,1918045.0472249836,v27
sweep_0030,v27_dominant,0.5,0.25,0.51,0.16,0.26,0.5,50,0.4,0.49,1.0,0.5012210820410434,0.6130108423686406,10,0,1800,0.17,0.14,2,49.87789179589566,0.0,56908.52311485068,50.12210820410434,86.4,62438.67688514933,3585,0.085,1199,0.5,6,0.12,464,141603064007.1324,0,735,156124215181.64432,1918045.0472249836,v27
sweep_0031,v27_dominant,0.55,0.25,0.51,0.16,0.26,0.5,50,0.4,0.49,1.0,0.5012210820410434,0.6121768140116765,10,0,1800,0.17,0.14,2,49.87789179589566,0.0,56916.58746178668,50.12210820410434,86.4,62430.612538213325,3592,0.085,1199,0.5,6,0.12,465,141623130179.52365,0,734,156104050759.54016,1975095.0220590234,v27
sweep_0032,v26_dominant,0.6,0.25,0.51,0.16,0.26,0.5,50,0.4,0.49,0.0,0.6214929353977099,0.40583554376657827,12,0,1800,0.17,0.14,2,37.850706460229006,86.4,60680.78475550224,62.14929353977099,0.0,58666.415244497766,3205,0.085,1131,0.5,6,0.12,672,114580951774.92555,797691.1705279998,459,181891747413.78287,0,v26
sweep_0033,v26_dominant,0.7,0.25,0.51,0.16,0.26,0.5,50,0.4,0.49,0.0,0.702036505963305,0.41092211280214863,12,0,1800,0.17,0.14,2,29.796349403669502,86.4,59658.401351726316,70.2036505963305,0.0,59688.79864827368,3205,0.085,1117,0.5,6,0.12,658,88679230689.27357,1674734.5243933112,459,209044998370.06268,0,v26
sweep_0034,v27_dominant,0.82,0.25,0.51,0.16,0.26,0.5,50,0.4,0.49,1.0,0.8082766430950271,0.848452508004269,4,0,1800,0.17,0.14,2,19.172335690497288,0.0,51662.348679427974,80.82766430950271,86.4,67684.85132057204,564,0.085,937,0.5,6,0.12,142,49412453394.43889,0,795,272922132087.91745,0,v27
