scenario_id,outcome,economic_split,hashrate_split,pool_ideology_strength,pool_profitability_threshold,pool_max_loss_pct,pool_committed_split,pool_neutral_pct,econ_ideology_strength,user_ideology_strength,v27_hash_share,v27_econ_share,v27_block_share,total_reorgs,total_orphans,duration,econ_inertia,econ_switching_threshold,economic_nodes_per_partition,final_v26_economic,final_v26_hashrate,final_v26_price,final_v27_economic,final_v27_hashrate,final_v27_price,reorg_mass,solo_miner_hashrate,total_blocks,transaction_velocity,user_nodes_per_partition,user_switching_threshold,v26_blocks,v27_blocks,winning_fork
sweep_0019,v26_dominant,0.7,0.35,0.51,0.16,0.26,0.5,30.0,0.4,0.49,0.34722222222222227,0.7016741709688209,0.4567272727272727,7,0,1800,0.17,0.14,2,29.832582903117906,56.39999999999999,58129.94551532511,70.16741709688209,30.0,61217.254484674886,1469,0.085,1375,0.5,6,0.12,747,628,v26
sweep_0020,v27_dominant,0.82,0.35,0.51,0.16,0.26,0.5,30.0,0.4,0.49,1.0,0.8082766430950271,0.8482905982905983,4,0,1800,0.17,0.14,2,19.172335690497288,0.0,51656.94630969369,80.82766430950271,86.4,67690.25369030632,564,0.085,936,0.5,6,0.12,142,794,v27
sweep_0021,v26_dominant,0.35,0.45,0.51,0.16,0.26,0.5,30.0,0.4,0.49,0.0,0.30067963339166637,0.12594187298170076,4,0,1800,0.17,0.14,2,69.93203666083336,86.4,66631.09640885767,30.06796333916664,0.0,52716.10359114234,468,0.085,929,0.5,6,0.12,812,117,v26
sweep_0022,v27_dominant,0.45,0.45,0.51,0.16,0.26,0.5,30.0,0.4,0.49,1.0,0.5012210820410434,0.6130108423686406,10,0,1800,0.17,0.14,2,49.87789179589566,0.0,56914.62885370895,50.12210820410434,86.4,62432.57114629106,3585,0.085,1199,0.5,6,0.12,464,735,v27
sweep_0023,v27_dominant,0.5,0.45,0.51,0.16,0.26,0.5,30.0,0.4,0.49,1.0,0.5012210820410434,0.6130108423686406,10,0,1800,0.17,0.14,2,49.87789179589566,0.0,56911.213070696656,50.12210820410434,86.4,62435.986929303355,3585,0.085,1199,0.5,6,0.12,464,735,v27
sweep_0024,v27_dominant,0.55,0.45,0.51,0.16,0.26,0.5,30.0,0.4,0.49,1.0,0.5012210820410434,0.6130108423686406,10,0,1800,0.17,0.14,2,49.87789179589566,0.0,56911.213070696656,50.12210820410434,86.4,62435.986929303355,3585,0.085,1199,0.5,6,0.12,464,735,v27
sweep_0025,v26_dominant,0.6,0.45,0.51,0.16,0.26,0.5,30.0,0.4,0.49,0.0,0.6214929353977099,0.34519867549668876,8,0,1800,0.17,0.14,2,37.850706460229006,86.4,61379.37719248947,62.14929353977099,0.0,57967.822807510536,1884,0.085,1208,0.5,6,0.12,791,417,v26
sweep_0026,v26_dominant,0.7,0.45,0.51,0.16,0.26,0.5,30.0,0.4,0.49,0.34722222222222227,0.7016741709688209,0.4581818181818182,7,0,1800,0.17,0.14,2,29.832582903117906,56.39999999999999,58124.4755507286,70.16741709688209,30.0,61222.724449271394,1467,0.085,1375,0.5,6,0.12,745,630,v26
sweep_0027,v27_dominant,0.82,0.45,0.51,0.16,0.26,0.5,30.0,0.4,0.49,1.0,0.8082766430950271,0.8482905982905983,4,0,1800,0.17,0.14,2,19.172335690497288,0.0,51656.09747648043,80.82766430950271,86.4,67691.10252351958,564,0.085,936,0.5,6,0.12,142,794,v27
sweep_0028,v26_dominant,0.35,0.55,0.51,0.16,0.26,0.5,30.0,0.4,0.49,0.0,0.30067963339166637,0.12607758620689655,4,0,1800,0.17,0.14,2,69.93203666083336,86.4,66632.10564484862,30.06796333916664,0.0,52715.09435515139,468,0.085,928,0.5,6,0.12,811,117,v26
