timestamps,v27_price,v26_price,v27_hashrate,v26_hashrate,v27_economic,v26_economic,v27_blocks,v26_blocks,v27_difficulty,v26_difficulty,v27_chainwork,v26_chainwork,v27_fee_rate,v26_fee_rate,v27_fee_revenue_btc,v26_fee_revenue_btc,v27_congestion,v26_congestion,v27_mempool_mb,v26_mempool_mb,v27_transactional,v26_transactional,v27_solo_hashrate,v26_solo_hashrate,v27_block_time_s,v26_block_time_s
0,60000,60000,38.1,48.3,50.12210820410434,49.87789179589566,0,0,1.0,1.0,0.0,0.0,1.0,1.0,0.01,0.01,0.008770272651636806,0.0068844571146853915,0,0,54.58084204742991,45.41915795257009,4.845,15.129999999999999,None,None
67,60000,60000,38.1,48.3,50.12210820410434,49.87789179589566,2,1,1.0,1.0,0.0,1.0,1.0,1.0,0.01,0.01,0.008770272651636806,0.0068844571146853915,0,0,54.58084204742991,45.41915795257009,4.845,15.129999999999999,33.5,67.0
149,60000,60000,38.1,48.3,50.12210820410434,49.87789179589566,2,2,1.0,1.0,0.0,2.0,0.009550453551606284,0.006269034914088349,9.550453551606285e-05,6.269034914088349e-05,0.008770272651636806,0.0068844571146853915,0,0,54.58084204742991,45.41915795257009,4.845,15.129999999999999,None,82.0
219,60000,60000,38.1,48.3,50.12210820410434,49.87789179589566,3,3,1.0,1.0,1.0,2.0,0.009550453551606284,0.006269034914088349,9.550453551606285e-05,6.269034914088349e-05,0.008770272651636806,0.0068844571146853915,0,0,54.58084204742991,45.41915795257009,4.845,15.129999999999999,70.0,70.0
306,58243.45298449251,61103.747015507484,38.1,48.3,50.12210820410434,49.87789179589566,8,6,1.0,1.0,6.0,5.0,0.009550453551606284,0.006269034914088349,9.550453551606285e-05,6.269034914088349e-05,0.008770272651636806,0.0068844571146853915,0,0,54.58084204742991,45.41915795257009,4.845,15.129999999999999,17.4,29.0
372,59770.725711765255,59576.47428823476,38.1,48.3,50.12210820410434,49.87789179589566,8,6,1.0,1.0,6.0,5.0,0.009550453551606284,0.006269034914088349,9.550453551606285e-05,6.269034914088349e-05,0.008770272651636806,0.0068844571146853915,0,0,54.58084204742991,45.41915795257009,4.845,15.129999999999999,None,None
436,59770.725711765255,59576.47428823476,38.1,48.3,50.12210820410434,49.87789179589566,8,6,1.0,1.0,6.0,5.0,0.009550453551606284,0.006269034914088349,9.550453551606285e-05,6.269034914088349e-05,0.008770272651636806,0.0068844571146853915,0,0,54.58084204742991,45.41915795257009,4.845,15.129999999999999,None,None
497,59770.725711765255,59576.47428823476,38.1,48.3,50.12210820410434,49.87789179589566,8,6,1.0,1.0,6.0,5.0,0.009550453551606284,0.006269034914088349,9.550453551606285e-05,6.269034914088349e-05,0.008770272651636806,0.0068844571146853915,0,0,54.58084204742991,45.41915795257009,4.845,15.129999999999999,None,None
565,59770.725711765255,59576.47428823476,38.1,48.3,50.12210820410434,49.87789179589566,10,6,1.0,1.0,8.0,5.0,0.009550453551606284,0.006269034914088349,9.550453551606285e-05,6.269034914088349e-05,0.008770272651636806,0.0068844571146853915,0,0,54.58084204742991,45.41915795257009,4.845,15.129999999999999,34.0,None
649,60274.22221526175,59072.97778473825,38.1,48.3,50.12210820410434,49.87789179589566,10,9,1.0,1.0,8.0,8.0,0.009550453551606284,0.006269034914088349,9.550453551606285e-05,6.269034914088349e-05,0.008770272651636806,0.0068844571146853915,0,0,54.58084204742991,45.41915795257009,4.845,15.129999999999999,None,28.0
710,59443.45298449252,59903.747015507484,0.0,86.4,50.12210820410434,49.87789179589566,10,9,1.0,1.0,8.0,8.0,0.009550453551606284,0.006269034914088349,9.550453551606285e-05,6.269034914088349e-05,3.3414738802736226,0.003848602762028985,0,0,54.58084204742991,45.41915795257009,4.845,15.129999999999999,None,None
771,57614.65298449252,61732.54701550749,0.0,86.4,50.12210820410434,49.87789179589566,10,9,1.0,1.0,8.0,8.0,3.638722803161994,0.0035045646568341113,0.036387228031619936,3.504564656834111e-05,3.3414738802736226,0.003848602762028985,26.387228031619937,0,54.58084204742991,45.41915795257009,4.845,15.129999999999999,None,None
833,57614.65298449252,61732.54701550749,0.0,86.4,50.12210820410434,49.87789179589566,10,9,1.0,1.0,8.0,8.0,3.638722803161994,0.0035045646568341113,0.036387228031619936,3.504564656834111e-05,3.3414738802736226,0.003848602762028985,26.387228031619937,0,54.58084204742991,45.41915795257009,4.845,15.129999999999999,None,None
895,57614.65298449252,61732.54701550749,0.0,86.4,50.12210820410434,49.87789179589566,10,9,1.0,1.0,8.0,8.0,3.638722803161994,0.0035045646568341113,0.036387228031619936,3.504564656834111e-05,3.3414738802736226,0.003848602762028985,26.387228031619937,0,54.58084204742991,45.41915795257009,4.845,15.129999999999999,None,None
967,57614.65298449252,61732.54701550749,0.0,86.4,50.12210820410434,49.87789179589566,10,10,1.0,1.0,8.0,8.0,3.638722803161994,0.0035045646568341113,0.036387228031619936,3.504564656834111e-05,3.3414738802736226,0.003848602762028985,26.387228031619937,0,54.58084204742991,45.41915795257009,4.845,15.129999999999999,None,72.0
