timestamps,v27_price,v26_price,v27_hashrate,v26_hashrate,v27_economic,v26_economic,v27_blocks,v26_blocks,v27_difficulty,v26_difficulty,v27_chainwork,v26_chainwork,v27_fee_rate,v26_fee_rate,v27_fee_revenue_btc,v26_fee_revenue_btc,v27_congestion,v26_congestion,v27_mempool_mb,v26_mempool_mb,v27_transactional,v26_transactional,v27_solo_hashrate,v26_solo_hashrate,v27_block_time_s,v26_block_time_s
0,60000,60000,38.1,48.3,62.14929353977099,37.850706460229006,0,0,1.0,1.0,0.0,0.0,1.0,1.0,0.01,0.01,0.010874767023581975,0.005224390125635473,0,0,67.679486908301,32.320513091699,6.897,21.538,None,None
74,60000,60000,38.1,48.3,62.14929353977099,37.850706460229006,6,10,1.0,1.0,6.0,9.0,1.0,1.0,0.01,0.01,0.010874767023581975,0.005224390125635473,0,0,67.679486908301,32.320513091699,6.897,21.538,12.333333333333334,7.4
154,60166.715224772524,59180.48477522749,38.1,48.3,62.14929353977099,37.850706460229006,18,22,1.0,1.0,18.0,21.0,0.011842429905214525,0.004461078411552657,0.00011842429905214525,4.4610784115526566e-05,0.010874767023581975,0.005224390125635473,0,0,67.679486908301,32.320513091699,6.897,21.538,6.666666666666667,6.666666666666667
256,60609.79214784944,58737.40785215056,38.1,48.3,62.14929353977099,37.850706460229006,24,29,1.0,1.0,23.0,28.0,0.011842429905214525,0.004461078411552657,0.00011842429905214525,4.4610784115526566e-05,0.010874767023581975,0.005224390125635473,0,0,67.679486908301,32.320513091699,6.897,21.538,17.0,14.571428571428571
330,60533.77404830194,58813.42595169807,38.1,48.3,62.14929353977099,37.850706460229006,25,31,1.0,1.0,23.0,29.0,0.011842429905214525,0.004461078411552657,0.00011842429905214525,4.4610784115526566e-05,0.010874767023581975,0.005224390125635473,0,0,67.679486908301,32.320513091699,6.897,21.538,74.0,37.0
416,60471.3306093879,58875.869390612104,38.1,48.3,62.14929353977099,37.850706460229006,25,31,1.0,1.0,23.0,29.0,0.011842429905214525,0.004461078411552657,0.00011842429905214525,4.4610784115526566e-05,0.010874767023581975,0.005224390125635473,0,0,67.679486908301,32.320513091699,6.897,21.538,None,None
484,60471.3306093879,58875.869390612104,38.1,48.3,62.14929353977099,37.850706460229006,25,32,1.0,1.0,23.0,30.0,0.011842429905214525,0.004461078411552657,0.00011842429905214525,4.4610784115526566e-05,0.010874767023581975,0.005224390125635473,0,0,67.679486908301,32.320513091699,6.897,21.538,None,68.0
556,60411.24352665932,58935.95647334069,38.1,48.3,62.14929353977099,37.850706460229006,25,32,1.0,1.0,23.0,30.0,0.011842429905214525,0.004461078411552657,0.00011842429905214525,4.4610784115526566e-05,0.010874767023581975,0.005224390125635473,0,0,67.679486908301,32.320513091699,6.897,21.538,None,None
643,60411.24352665932,58935.95647334069,38.1,48.3,62.14929353977099,37.850706460229006,27,33,1.0,1.0,25.0,31.0,0.011842429905214525,0.004461078411552657,0.00011842429905214525,4.4610784115526566e-05,0.010874767023581975,0.005224390125635473,0,0,67.679486908301,32.320513091699,6.897,21.538,43.5,87.0
706,60501.000939058235,58846.19906094177,20.5,65.9,62.14929353977099,37.850706460229006,27,33,1.0,1.0,25.0,31.0,0.011842429905214525,0.004461078411552657,0.00011842429905214525,4.4610784115526566e-05,0.020211152370657234,0.0038291053576357107,0,0,67.679486908301,32.320513091699,6.897,21.538,None,None
852,59656.20093905824,59690.99906094177,20.5,65.9,62.14929353977099,37.850706460229006,27,37,1.0,1.0,25.0,34.0,0.022009589238471874,0.0032696523107434497,0.00022009589238471876,3.26965231074345e-05,0.020211152370657234,0.0038291053576357107,0,0,67.679486908301,32.320513091699,6.897,21.538,None,36.5
