sweep_name,scenario_id,user_custody_fraction,user_split,outcome,winning_fork,final_v27_hashrate,v27_econ_share,cascade_time_s,econ_outcome,hr_type
lhs_user_weight_prim,sweep_0049,0.1894,0.4828,v26_dominant,v26,30.0,0.5881761005356299,,no_switch,no ideology flip
lhs_user_weight_prim,sweep_0050,0.1231,0.3664,v27_dominant,v27,86.4,1.0,1948.0,full_switch,v27 dominant
lhs_user_weight_prim,sweep_0051,0.0548,0.5603,v27_dominant,v27,86.4,1.0,1426.0,full_switch,v27 dominant
lhs_user_weight_prim,sweep_0052,0.4994,0.2608,v26_dominant,v26,30.0,0.5333308724171927,,no_switch,no ideology flip
lhs_user_weight_prim,sweep_0053,0.6803,0.5094,v26_dominant,v26,0.0,0.3025734084096105,,no_switch,complete collapse
lhs_user_weight_prim,sweep_0054,0.4071,0.4408,v26_dominant,v26,30.0,0.5496605967892305,,no_switch,no ideology flip
lhs_user_weight_prim,sweep_0055,0.3735,0.5407,v26_dominant,v26,30.0,0.5556051118369063,,no_switch,no ideology flip
lhs_user_weight_prim,sweep_0056,0.2843,0.5703,v27_dominant,v27,86.4,1.0,1291.0,full_switch,v27 dominant
lhs_user_weight_prim,sweep_0057,0.6107,0.5299,v26_dominant,v26,30.0,0.5136396663217667,,no_switch,no ideology flip
lhs_user_weight_prim,sweep_0058,0.3755,0.2975,v26_dominant,v26,30.0,0.555251271655497,,no_switch,no ideology flip
lhs_user_weight_prim,sweep_0059,0.2088,0.4311,v27_dominant,v27,86.4,1.0,3341.0,full_switch,v27 dominant
user_weight_threshold,sweep_0000,0.01,0.3,v27_dominant,v27,86.4,0.6975161003427607,8852.0,partial_switch,v27 dominant
user_weight_threshold,sweep_0001,0.01,0.4,v27_dominant,v27,86.4,1.0,1341.0,full_switch,v27 dominant
user_weight_threshold,sweep_0002,0.01,0.5,v26_dominant,v26,30.0,0.6199155648080414,,partial_switch,no ideology flip
user_weight_threshold,sweep_0004,0.01,0.7,v27_dominant,v27,86.4,1.0,1721.0,full_switch,v27 dominant
user_weight_threshold,sweep_0005,0.1,0.3,contested,v26,50.5,0.6039927566446243,,partial_switch,partial equilibrium
user_weight_threshold,sweep_0006,0.1,0.4,v27_dominant,v27,86.4,1.0,4627.0,full_switch,v27 dominant
user_weight_threshold,sweep_0007,0.1,0.5,v27_dominant,v27,86.4,1.0,3921.0,full_switch,v27 dominant
user_weight_threshold,sweep_0008,0.1,0.6,v27_dominant,v27,86.4,1.0,1295.0,full_switch,v27 dominant
user_weight_threshold,sweep_0009,0.1,0.7,v27_dominant,v27,86.4,1.0,1262.0,full_switch,v27 dominant
user_weight_threshold,sweep_0010,0.2,0.3,contested,v27,50.5,0.610365964311519,,partial_switch,partial equilibrium
