timestamps,v27_price,v26_price,v27_hashrate,v26_hashrate,v27_economic,v26_economic,v27_blocks,v26_blocks,v27_difficulty,v26_difficulty,v27_chainwork,v26_chainwork,v27_fee_rate,v26_fee_rate,v27_fee_revenue_btc,v26_fee_revenue_btc,v27_congestion,v26_congestion,v27_mempool_mb,v26_mempool_mb,v27_transactional,v26_transactional,v27_solo_hashrate,v26_solo_hashrate,v27_block_time_s,v26_block_time_s
0,60000,60000,38.1,48.3,30.076799311326575,69.92320068867342,0,0,1.0,1.0,0.0,0.0,1.0,1.0,0.01,0.01,0.005262782031728185,0.009651235429768588,0,0,32.74976727931142,67.25023272068857,3.135,9.790000000000001,None,None
107,60000,60000,38.1,48.3,30.076799311326575,69.92320068867342,1,0,1.0,1.0,1.0,0.0,1.0,1.0,0.01,0.01,0.005262782031728185,0.009651235429768588,0,0,32.74976727931142,67.25023272068857,3.135,9.790000000000001,107.0,None
168,60000,60000,38.1,48.3,30.076799311326575,69.92320068867342,1,0,1.0,1.0,1.0,0.0,0.005730492962259216,0.009282295751647835,5.730492962259216e-05,9.282295751647835e-05,0.005262782031728185,0.009651235429768588,0,0,32.74976727931142,67.25023272068857,3.135,9.790000000000001,None,None
230,60000,60000,38.1,48.3,30.076799311326575,69.92320068867342,1,0,1.0,1.0,1.0,0.0,0.005730492962259216,0.009282295751647835,5.730492962259216e-05,9.282295751647835e-05,0.005262782031728185,0.009651235429768588,0,0,32.74976727931142,67.25023272068857,3.135,9.790000000000001,None,None
319,60000,60000,38.1,48.3,30.076799311326575,69.92320068867342,2,0,1.0,1.0,1.0,0.0,0.005730492962259216,0.009282295751647835,5.730492962259216e-05,9.282295751647835e-05,0.005262782031728185,0.009651235429768588,0,0,32.74976727931142,67.25023272068857,3.135,9.790000000000001,89.0,None
386,60000,60000,38.1,48.3,30.076799311326575,69.92320068867342,2,0,1.0,1.0,1.0,0.0,0.005730492962259216,0.009282295751647835,5.730492962259216e-05,9.282295751647835e-05,0.005262782031728185,0.009651235429768588,0,0,32.74976727931142,67.25023272068857,3.135,9.790000000000001,None,None
482,60000,60000,38.1,48.3,30.076799311326575,69.92320068867342,2,3,1.0,1.0,1.0,2.0,0.005730492962259216,0.009282295751647835,5.730492962259216e-05,9.282295751647835e-05,0.005262782031728185,0.009651235429768588,0,0,32.74976727931142,67.25023272068857,3.135,9.790000000000001,None,32.0
543,60000,60000,38.1,48.3,30.076799311326575,69.92320068867342,2,3,1.0,1.0,1.0,2.0,0.005730492962259216,0.009282295751647835,5.730492962259216e-05,9.282295751647835e-05,0.005262782031728185,0.009651235429768588,0,0,32.74976727931142,67.25023272068857,3.135,9.790000000000001,None,None
605,60000,60000,38.1,48.3,30.076799311326575,69.92320068867342,2,4,1.0,1.0,1.0,2.0,0.005730492962259216,0.009282295751647835,5.730492962259216e-05,9.282295751647835e-05,0.005262782031728185,0.009651235429768588,0,0,32.74976727931142,67.25023272068857,3.135,9.790000000000001,None,62.0
725,55838.01591735918,63509.1840826408,0.0,86.4,30.076799311326575,69.92320068867342,2,17,1.0,1.0,1.0,14.0,0.005730492962259216,0.009282295751647835,5.730492962259216e-05,9.282295751647835e-05,2.005119954088438,0.0053953086951136885,0,0,32.74976727931142,67.25023272068857,3.135,9.790000000000001,None,9.23076923076923
795,52089.21591735919,67257.9840826408,0.0,86.4,30.076799311326575,69.92320068867342,2,18,1.0,1.0,1.0,14.0,2.183317818620761,0.005189061166719797,0.02183317818620761,5.189061166719797e-05,2.005119954088438,0.0053953086951136885,11.833178186207611,0,32.74976727931142,67.25023272068857,3.135,9.790000000000001,None,70.0
858,52089.21591735919,67257.9840826408,0.0,86.4,30.076799311326575,69.92320068867342,2,19,1.0,1.0,1.0,14.0,2.183317818620761,0.005189061166719797,0.02183317818620761,5.189061166719797e-05,2.005119954088438,0.0053953086951136885,11.833178186207611,0,32.74976727931142,67.25023272068857,3.135,9.790000000000001,None,63.0
923,52089.21591735919,67257.9840826408,0.0,86.4,0.008835972159936437,99.99116402784006,2,19,1.0,1.0,1.0,14.0,2.183317818620761,0.005189061166719797,0.02183317818620761,5.189061166719797e-05,0.0005890648106624291,0.0077153675947407435,11.833178186207611,0,0.003155127133700534,99.99684487286629,3.135,9.790000000000001,None,None
985,48481.0603166592,70866.13968334082,0.0,86.4,0.008835972159936437,99.99116402784006,2,19,1.0,1.0,1.0,14.0,0.0002103418089133689,0.007715805931548323,2.103418089133689e-06,7.715805931548324e-05,0.0005890648106624291,0.0077153675947407435,0,0,0.003155127133700534,99.99684487286629,3.135,9.790000000000001,None,None
1050,48481.0603166592,70866.13968334082,0.0,86.4,0.008835972159936437,99.99116402784006,2,19,1.0,1.0,1.0,14.0,0.0002103418089133689,0.007715805931548323,2.103418089133689e-06,7.715805931548324e-05,0.0005890648106624291,0.0077153675947407435,0,0,0.003155127133700534,99.99684487286629,3.135,9.790000000000001,None,None
1110,48481.0603166592,70866.13968334082,0.0,86.4,0.008835972159936437,99.99116402784006,2,40,1.0,1.0,1.0,34.0,0.0002103418089133689,0.007715805931548323,2.103418089133689e-06,7.715805931548324e-05,0.0005890648106624291,0.0077153675947407435,0,0,0.003155127133700534,99.99684487286629,3.135,9.790000000000001,None,2.857142857142857
1194,48206.77460237348,71140.42539762652,0.0,86.4,0.008835972159936437,99.99116402784006,2,51,1.0,1.0,1.0,45.0,0.0002103418089133689,0.007715805931548323,2.103418089133689e-06,7.715805931548324e-05,0.0005890648106624291,0.0077153675947407435,0,0,0.003155127133700534,99.99684487286629,3.135,9.790000000000001,None,7.636363636363637
1324,48157.58205578963,71189.61794421037,0.0,86.4,0.0,100.0,2,53,1.0,1.0,1.0,46.0,0.0002103418089133689,0.007715805931548323,2.103418089133689e-06,7.715805931548324e-05,0.0,0.007716049382716048,0,0,0.0,100.0,0.0,12.924999999999999,None,65.0
1421,48153.19148936171,71194.0085106383,0.0,86.4,0.0,100.0,2,65,1.0,1.0,1.0,58.0,0.0,0.007716049382716048,0.0,7.716049382716048e-05,0.0,0.007716049382716048,0,0,0.0,100.0,0.0,12.924999999999999,None,8.083333333333334
1494,48122.03389830509,71225.16610169492,0.0,86.4,0.0,100.0,2,65,1.0,1.0,1.0,58.0,0.0,0.007716049382716048,0.0,7.716049382716048e-05,0.0,0.007716049382716048,0,0,0.0,100.0,0.0,12.924999999999999,None,None
1575,48122.03389830509,71225.16610169492,0.0,86.4,0.0,100.0,2,65,1.0,1.0,1.0,58.0,0.0,0.007716049382716048,0.0,7.716049382716048e-05,0.0,0.007716049382716048,0,0,0.0,100.0,0.0,12.924999999999999,None,None
1635,48122.03389830509,71225.16610169492,0.0,86.4,0.0,100.0,2,75,1.0,1.0,1.0,65.0,0.0,0.007716049382716048,0.0,7.716049382716048e-05,0.0,0.007716049382716048,0,0,0.0,100.0,0.0,12.924999999999999,None,6.0
1751,48109.09090909091,71238.1090909091,0.0,86.4,0.0,100.0,2,93,1.0,1.0,1.0,83.0,0.0,0.007716049382716048,0.0,7.716049382716048e-05,0.0,0.007716049382716048,0,0,0.0,100.0,0.0,12.924999999999999,None,6.444444444444445
1840,48085.71428571429,71261.48571428572,0.0,86.4,0.0,100.0,2,95,1.0,1.0,1.0,85.0,0.0,0.007716049382716048,0.0,7.716049382716048e-05,0.0,0.007716049382716048,0,0,0.0,100.0,0.0,12.924999999999999,None,44.5
1928,48083.72093023256,71263.47906976745,0.0,86.4,0.0,100.0,2,104,1.0,1.0,1.0,94.0,0.0,0.007716049382716048,0.0,7.716049382716048e-05,0.0,0.007716049382716048,0,0,0.0,100.0,0.0,12.924999999999999,None,9.777777777777779
1990,48075.78947368421,71271.4105263158,0.0,86.4,0.0,100.0,2,105,1.0,1.0,1.0,94.0,0.0,0.007716049382716048,0.0,7.716049382716048e-05,0.0,0.007716049382716048,0,0,0.0,100.0,0.0,12.924999999999999,None,62.0
2052,48075.78947368421,71271.4105263158,0.0,86.4,0.0,100.0,2,105,1.0,1.0,1.0,94.0,0.0,0.007716049382716048,0.0,7.716049382716048e-05,0.0,0.007716049382716048,0,0,0.0,100.0,0.0,12.924999999999999,None,None
2127,48075.78947368421,71271.4105263158,0.0,86.4,0.0,100.0,2,107,1.0,1.0,1.0,94.0,0.0,0.007716049382716048,0.0,7.716049382716048e-05,0.0,0.007716049382716048,0,0,0.0,100.0,0.0,12.924999999999999,None,37.5
2191,48075.78947368421,71271.4105263158,0.0,86.4,0.0,100.0,2,108,1.0,1.0,1.0,94.0,0.0,0.007716049382716048,0.0,7.716049382716048e-05,0.0,0.007716049382716048,0,0,0.0,100.0,0.0,12.924999999999999,None,64.0
2253,48075.78947368421,71271.4105263158,0.0,86.4,0.0,100.0,2,108,1.0,1.0,1.0,94.0,0.0,0.007716049382716048,0.0,7.716049382716048e-05,0.0,0.007716049382716048,0,0,0.0,100.0,0.0,12.924999999999999,None,None
2318,48075.78947368421,71271.4105263158,0.0,86.4,0.0,100.0,2,108,1.0,1.0,1.0,94.0,0.0,0.007716049382716048,0.0,7.716049382716048e-05,0.0,0.007716049382716048,0,0,0.0,100.0,0.0,12.924999999999999,None,None
2379,48075.78947368421,71271.4105263158,0.0,86.4,0.0,100.0,2,108,1.0,1.0,1.0,94.0,0.0,0.007716049382716048,0.0,7.716049382716048e-05,0.0,0.007716049382716048,0,0,0.0,100.0,0.0,12.924999999999999,None,None
2468,48075.78947368421,71271.4105263158,0.0,86.4,0.0,100.0,2,116,1.0,1.0,1.0,102.0,0.0,0.007716049382716048,0.0,7.716049382716048e-05,0.0,0.007716049382716048,0,0,0.0,100.0,0.0,12.924999999999999,None,11.125
2528,48069.90291262136,71277.29708737865,0.0,86.4,0.0,100.0,2,127,1.0,1.0,1.0,113.0,0.0,0.007716049382716048,0.0,7.716049382716048e-05,0.0,0.007716049382716048,0,0,0.0,100.0,0.0,12.924999999999999,None,5.454545454545454
2589,48063.15789473685,71284.04210526317,0.0,86.4,0.0,100.0,2,153,1.0,1.0,1.0,139.0,0.0,0.007716049382716048,0.0,7.716049382716048e-05,0.0,0.007716049382716048,0,0,0.0,100.0,0.0,12.924999999999999,None,2.3461538461538463
2649,48051.42857142857,71295.77142857143,0.0,86.4,0.0,100.0,2,180,1.0,1.0,1.0,166.0,0.0,0.007716049382716048,0.0,7.716049382716048e-05,0.0,0.007716049382716048,0,0,0.0,100.0,0.0,12.924999999999999,None,2.2222222222222223
2709,48043.11377245509,71304.08622754492,0.0,86.4,0.0,100.0,2,198,1.0,1.0,1.0,184.0,0.0,0.007716049382716048,0.0,7.716049382716048e-05,0.0,0.007716049382716048,0,0,0.0,100.0,0.0,12.924999999999999,None,3.3333333333333335
2770,48038.91891891892,71308.28108108108,0.0,86.4,0.0,100.0,2,216,1.0,1.0,1.0,202.0,0.0,0.007716049382716048,0.0,7.716049382716048e-05,0.0,0.007716049382716048,0,0,0.0,100.0,0.0,12.924999999999999,None,3.388888888888889
2830,48035.467980295565,71311.73201970443,0.0,86.4,0.0,100.0,2,236,1.0,1.0,1.0,222.0,0.0,0.007716049382716048,0.0,7.716049382716048e-05,0.0,0.007716049382716048,0,0,0.0,100.0,0.0,12.924999999999999,None,3.0
2890,48032.2869955157,71314.91300448432,0.0,86.4,0.0,100.0,2,254,1.0,1.0,1.0,240.0,0.0,0.007716049382716048,0.0,7.716049382716048e-05,0.0,0.007716049382716048,0,0,0.0,100.0,0.0,12.924999999999999,None,3.3333333333333335
2978,48029.8755186722,71317.3244813278,0.0,86.4,0.0,100.0,2,269,1.0,1.0,1.0,255.0,0.0,0.007716049382716048,0.0,7.716049382716048e-05,0.0,0.007716049382716048,0,0,0.0,100.0,0.0,12.924999999999999,None,5.866666666666666
3068,48028.12500000001,71319.07500000001,0.0,86.4,0.0,100.0,2,274,1.0,1.0,1.0,260.0,0.0,0.007716049382716048,0.0,7.716049382716048e-05,0.0,0.007716049382716048,0,0,0.0,100.0,0.0,12.924999999999999,None,18.0
3139,48027.58620689656,71319.61379310345,0.0,86.4,0.0,100.0,2,274,1.0,1.0,1.0,260.0,0.0,0.007716049382716048,0.0,7.716049382716048e-05,0.0,0.007716049382716048,0,0,0.0,100.0,0.0,12.924999999999999,None,None
3204,48027.58620689656,71319.61379310345,0.0,86.4,0.0,100.0,2,274,1.0,1.0,1.0,260.0,0.0,0.007716049382716048,0.0,7.716049382716048e-05,0.0,0.007716049382716048,0,0,0.0,100.0,0.0,12.924999999999999,None,None
3265,48027.58620689656,71319.61379310345,0.0,86.4,0.0,100.0,2,280,1.0,1.0,1.0,265.0,0.0,0.007716049382716048,0.0,7.716049382716048e-05,0.0,0.007716049382716048,0,0,0.0,100.0,0.0,12.924999999999999,None,10.166666666666666
