scenario_id,outcome,econ_outcome,economic_split,hashrate_split,pool_ideology_strength,pool_profitability_threshold,pool_max_loss_pct,pool_committed_split,pool_neutral_pct,econ_ideology_strength,user_ideology_strength,v27_hash_share,v27_econ_share,v27_block_share,econ_initial,econ_final,econ_delta,econ_switched,econ_outcome,econ_switch_time_s,econ_95pct_time_s,cascade_time_s,econ_lag_s,peak_price_gap_pct,total_reorgs,total_orphans,duration,econ_inertia,econ_switching_threshold,economic_nodes_per_partition,final_v26_economic,final_v26_hashrate,final_v26_price,final_v27_economic,final_v27_hashrate,final_v27_price,reorg_mass,solo_miner_hashrate,total_blocks,transaction_velocity,user_nodes_per_partition,user_switching_threshold,v26_blocks,v26_fork_valuation,v26_pool_opportunity_cost,v27_blocks,v27_fork_valuation,v27_pool_opportunity_cost,winning_fork
sweep_0012,v27_dominant,full_switch,0.5837,0.25,0.3141,0.16,0.1328,0.6472,30.0,0.4,0.49,1.0,1.0,0.9613976705490849,56.74,100.0,43.26,True,full_switch,2722.0,2722.0,1208.0,1514.0,46.99,4,0,13000,0.05,0.1,2,0.0,0.0,48319.71400240086,100.0,86.4,71027.48599759914,728,0.085,6010,0.5,6,0.12,232,0.0,0,5778,354334704331.6955,671360.3590898216,v27
sweep_0013,v27_dominant,full_switch,0.5595,0.25,0.607,0.16,0.3448,0.6255,30.0,0.4,0.49,1.0,1.0,0.8383503913305238,56.74,100.0,43.26,True,full_switch,12049.0,12049.0,7266.0,4783.0,41.54,4,0,13000,0.05,0.1,2,0.0,0.0,49411.42994096364,100.0,86.4,69935.77005903637,2416,0.085,6644,0.5,6,0.12,1074,0.0,0,5570,348888462797.5672,77603176.46656555,v27
sweep_0014,v27_dominant,full_switch,0.6245,0.25,0.4161,0.16,0.2682,0.592,30.0,0.4,0.49,1.0,1.0,0.9614523352527191,56.74,100.0,43.26,True,full_switch,2722.0,2722.0,1208.0,1514.0,47.0,6,0,13000,0.05,0.1,2,0.0,0.0,48319.29497878368,100.0,86.4,71027.90502121633,1095,0.085,6252,0.5,6,0.12,241,0.0,0,6011,354336794714.13574,700339.9429354253,v27
sweep_0015,v26_dominant,no_switch,0.5526,0.25,0.5065,0.16,0.2464,0.2319,30.0,0.4,0.49,0.0,0.5673664319629602,0.03138942001274697,56.74,56.74,-0.0,False,no_switch,None,None,None,None,0.89,8,0,13000,0.05,0.1,2,43.26335680370397,86.4,64280.21782681264,56.73664319629601,0.0,55066.98217318737,1126,0.085,6276,0.5,6,0.12,6079,138734604397.30032,1591462.1461877306,197,155862687682.633,0,v26
sweep_0016,v26_dominant,no_switch,0.4279,0.25,0.6863,0.16,0.3892,0.1624,30.0,0.4,0.49,0.0,0.5673664319629602,0.031379420197515134,56.74,56.74,-0.0,False,no_switch,None,None,None,None,0.89,8,0,13000,0.05,0.1,2,43.26335680370397,86.4,64280.48551228447,56.73664319629601,0.0,55066.714487715544,1126,0.085,6278,0.5,6,0.12,6081,138735182137.0668,1591462.1461877306,197,155861930020.31982,0,v26
sweep_0017,v26_dominant,no_switch,0.4248,0.25,0.7905,0.16,0.1262,0.2236,30.0,0.4,0.49,0.0,0.5673664319629602,0.03139942620337902,56.74,56.74,-0.0,False,no_switch,None,None,None,None,0.89,8,0,13000,0.05,0.1,2,43.26335680370397,86.4,64280.247456147845,56.73664319629601,0.0,55066.95254385216,1126,0.085,6274,0.5,6,0.12,6077,138734668345.6539,1591462.1461877306,197,155862603819.17004,0,v26
sweep_0018,v27_dominant,no_switch,0.3246,0.25,0.6199,0.16,0.2721,0.2597,30.0,0.4,0.49,1.0,0.5673741253525133,0.773067331670823,56.74,56.74,0.0,False,no_switch,None,None,8416.0,None,16.18,10,0,13000,0.05,0.1,2,43.26258746474866,0.0,55207.29492213109,56.73741253525133,86.4,64139.905077868905,8343,0.085,6817,0.5,6,0.12,1547,119150592192.7402,0,5270,181545331820.05862,76276617.41126646,v27
sweep_0019,v27_dominant,no_switch,0.3602,0.25,0.6238,0.16,0.312,0.6084,30.0,0.4,0.49,1.0,0.5673741253525133,0.8000338066260987,56.74,56.74,0.0,False,no_switch,None,None,9025.0,None,16.9,6,0,13000,0.05,0.1,2,43.26258746474866,0.0,55025.208893592084,56.73741253525133,86.4,64321.99110640793,3942,0.085,5916,0.5,6,0.12,1183,118757606842.50618,0,4733,182060718745.41782,100408999.48243226,v27
sweep_0020,v27_dominant,full_switch,0.6151,0.25,0.3952,0.16,0.3805,0.6364,30.0,0.4,0.49,1.0,1.0,0.9214931691360401,56.74,100.0,43.26,True,full_switch,4541.0,4541.0,2416.0,2125.0,44.98,4,0,13000,0.05,0.1,2,0.0,0.0,48716.328796121794,100.0,86.4,70630.87120387821,1086,0.085,5197,0.5,6,0.12,408,0.0,0,4789,352356112752.7759,13847553.43272879,v27
sweep_0021,v26_dominant,no_switch,0.5029,0.25,0.4897,0.16,0.2572,0.1922,30.0,0.4,0.49,0.0,0.5673664319629602,0.03141444745654601,56.74,56.74,-0.0,False,no_switch,None,None,None,None,0.89,8,0,13000,0.05,0.1,2,43.26335680370397,86.4,64280.04919103385,56.73664319629601,0.0,55067.15080896615,1126,0.085,6271,0.5,6,0.12,6074,138734240434.34488,1591462.1461877306,197,155863164992.71396,0,v26
