scenario_id,outcome,economic_split,hashrate_split,pool_ideology_strength,pool_profitability_threshold,pool_max_loss_pct,pool_committed_split,pool_neutral_pct,econ_ideology_strength,user_ideology_strength,v27_hash_share,v27_econ_share,v27_block_share,total_reorgs,total_orphans,duration,econ_inertia,econ_switching_threshold,economic_nodes_per_partition,final_v26_economic,final_v26_hashrate,final_v26_price,final_v27_economic,final_v27_hashrate,final_v27_price,random_seed,reorg_mass,solo_miner_hashrate,total_blocks,transaction_velocity,user_nodes_per_partition,user_switching_threshold,v26_blocks,v26_fork_valuation,v26_pool_opportunity_cost,v27_blocks,v27_fork_valuation,v27_pool_opportunity_cost,winning_fork
baseline_0017,contested,0.5,0.5,0.5,0.16,0.26,0.5,30.0,0.4,0.5,0.5,0.5,0.4967741935483871,0,0,1800,0.175,0.135,2,50.0,47.0,59832.158940397356,50.0,47.0,59879.84105960265,218,0,0.085,155,0.5,6,0.125,78,119692289415.09935,0,77,119787675944.90067,1232751.7471212381,v26
baseline_0018,contested,0.5,0.5,0.5,0.16,0.26,0.5,30.0,0.4,0.5,0.5,0.5,0.49079754601226994,0,0,1800,0.175,0.135,2,50.0,47.0,59923.92452830189,50.0,47.0,59788.07547169812,219,0,0.085,163,0.5,6,0.125,83,119875863491.32076,74655.52941176388,80,119604101868.67926,240108.32432432286,v26
baseline_0019,contested,0.5,0.5,0.5,0.16,0.26,0.5,30.0,0.4,0.5,0.5,0.5,0.5064102564102564,0,0,1800,0.175,0.135,2,50.0,47.0,59856.0,50.0,47.0,59856.0,220,0,0.085,156,0.5,6,0.125,77,119739982680.0,1440979.9917525752,79,119739982680.0,0,v27
baseline_0020,contested,0.5,0.5,0.5,0.16,0.26,0.5,30.0,0.4,0.5,0.5,0.5,0.5384615384615384,0,0,1800,0.175,0.135,2,50.0,47.0,59524.71165644172,50.0,47.0,60187.288343558284,221,0,0.085,169,0.5,6,0.125,78,119077251115.58282,101082.26548672514,91,120402714244.41718,223966.58823529864,v27
baseline_0021,contested,0.5,0.5,0.5,0.16,0.26,0.5,30.0,0.4,0.5,0.5,0.5,0.4827586206896552,0,0,1800,0.175,0.135,2,50.0,47.0,59962.508875739644,50.0,47.0,59749.491124260356,222,0,0.085,174,0.5,6,0.125,90,119953050224.3787,36261.257142858114,84,119526915135.6213,0,v26
baseline_0022,contested,0.5,0.5,0.5,0.16,0.26,0.5,30.0,0.4,0.5,0.5,0.5,0.445859872611465,0,0,1800,0.175,0.135,2,50.0,47.0,60282.31578947369,50.0,47.0,59429.68421052632,223,0,0.085,157,0.5,6,0.125,87,120592813561.57895,88544.93023255654,70,118887151798.42107,653801.4545454527,v26
baseline_0023,contested,0.5,0.5,0.5,0.16,0.26,0.5,30.0,0.4,0.5,0.5,0.5,0.4482758620689655,0,0,1800,0.175,0.135,2,50.0,47.0,60279.529411764706,50.0,47.0,59432.470588235294,224,0,0.085,174,0.5,6,0.125,96,120587239503.52942,0,78,118892725856.47058,535106.5859847604,v26
baseline_0024,contested,0.5,0.5,0.5,0.16,0.26,0.5,30.0,0.4,0.5,0.5,0.5,0.5197368421052632,0,0,1800,0.175,0.135,2,50.0,47.0,59710.05405405405,50.0,47.0,60001.945945945954,225,0,0.085,152,0.5,6,0.125,73,119448022558.37837,647270.9839508599,79,120031942801.62164,0,v27
baseline_0025,contested,0.5,0.5,0.5,0.16,0.26,0.5,30.0,0.4,0.5,0.5,0.5,0.4913294797687861,0,0,1800,0.175,0.135,2,50.0,47.0,59941.71428571428,50.0,47.0,59770.28571428571,226,0,0.085,173,0.5,6,0.125,88,119911451322.85713,253828.79999999888,85,119568514037.14285,110896.07766990224,v26
baseline_0026,contested,0.5,0.5,0.5,0.16,0.26,0.5,30.0,0.4,0.5,0.5,0.5,0.4550898203592814,0,0,1800,0.175,0.135,2,50.0,47.0,60216.0,50.0,47.0,59496.0,227,0,0.085,167,0.5,6,0.125,91,120460150980.0,359191.69811320445,76,119019814380.0,168470.44247787306,v26
baseline_0027,contested,0.5,0.5,0.5,0.16,0.26,0.5,30.0,0.4,0.5,0.5,0.5,0.46296296296296297,0,0,1800,0.175,0.135,2,50.0,47.0,60157.93548387097,50.0,47.0,59554.06451612904,228,0,0.085,162,0.5,6,0.125,87,120343994802.58064,374063.49473684,75,119135970557.41937,0,v26
baseline_0028,contested,0.5,0.5,0.5,0.16,0.26,0.5,30.0,0.4,0.5,0.5,0.5,0.47368421052631576,0,0,1800,0.175,0.135,2,50.0,47.0,60113.142857142855,50.0,47.0,59598.857142857145,229,0,0.085,171,0.5,6,0.125,90,120254388608.57143,761486.3999999966,81,119225576751.42857,0,v26
baseline_0029,contested,0.5,0.5,0.5,0.16,0.26,0.5,30.0,0.4,0.5,0.5,0.5,0.5227272727272727,0,0,1800,0.175,0.135,2,50.0,47.0,59668.71676300578,50.0,47.0,60043.28323699422,230,0,0.085,176,0.5,6,0.125,84,119365328651.09827,297972.9391304357,92,120114636708.90173,131290.7586206915,v27
