scenario_id,outcome,econ_outcome,economic_split,hashrate_split,pool_ideology_strength,pool_profitability_threshold,pool_max_loss_pct,pool_committed_split,pool_neutral_pct,econ_ideology_strength,user_ideology_strength,v27_hash_share,v27_econ_share,v27_block_share,econ_initial,econ_final,econ_delta,econ_switched,econ_outcome,econ_switch_time_s,econ_95pct_time_s,cascade_time_s,econ_lag_s,peak_price_gap_pct,total_reorgs,total_orphans,duration,econ_inertia,econ_switching_threshold,economic_nodes_per_partition,final_v26_economic,final_v26_hashrate,final_v26_price,final_v27_economic,final_v27_hashrate,final_v27_price,reorg_mass,solo_miner_hashrate,total_blocks,transaction_velocity,user_nodes_per_partition,user_switching_threshold,v26_blocks,v26_fork_valuation,v26_pool_opportunity_cost,v27_blocks,v27_fork_valuation,v27_pool_opportunity_cost,winning_fork
sweep_0000,v26_dominant,no_switch,0.2,0.5,0.51,0.16,0.26,0.35,30.0,0.4,0.49,0.0,0.0,0.061037639877924724,0.01,0.0,-0.01,False,no_switch,None,None,None,None,0.0,4,0,4000,0.05,0.1,2,100.0,86.4,70742.53407367114,0.0,0.0,48604.66592632888,468,0.085,1966,0.5,6,0.12,1846,352913165130.41797,0,120,0.0,0,v26
sweep_0001,v27_dominant,no_switch,0.35,0.5,0.51,0.16,0.26,0.35,30.0,0.4,0.49,1.0,0.5673741253525133,0.6768790849673203,56.74,56.74,0.0,False,no_switch,None,None,1818.0,None,15.54,16,0,4000,0.05,0.1,2,43.26258746474866,0.0,55371.1295089166,56.73741253525133,86.4,63976.070491083396,8224,0.085,2448,0.5,6,0.12,791,119504186551.32417,0,1657,181081604840.95773,773890.3043887187,v27
sweep_0002,v27_dominant,no_switch,0.5,0.5,0.51,0.16,0.26,0.35,30.0,0.4,0.49,1.0,0.5673741253525133,0.675786035116374,56.74,56.74,0.0,False,no_switch,None,None,1814.0,None,15.56,16,0,4000,0.05,0.1,2,43.26258746474866,0.0,55367.14832768972,56.73741253525133,86.4,63980.051672310285,8272,0.085,2449,0.5,6,0.12,794,119495594206.75307,0,1655,181092873408.7237,922603.1756793386,v27
sweep_0003,v27_dominant,no_switch,0.65,0.5,0.51,0.16,0.26,0.35,30.0,0.4,0.49,1.0,0.5673741253525133,0.675786035116374,56.74,56.74,0.0,False,no_switch,None,None,1813.0,None,15.55,16,0,4000,0.05,0.1,2,43.26258746474866,0.0,55368.383628852964,56.73741253525133,86.4,63978.81637114705,8272,0.085,2449,0.5,6,0.12,794,119498260283.13562,0,1655,181089376940.19437,922603.1756793386,v27
sweep_0004,v27_dominant,full_switch,0.8,0.5,0.51,0.16,0.26,0.35,30.0,0.4,0.49,1.0,1.0,0.9290354822588706,99.59,100.0,0.41,False,full_switch,None,0.0,611.0,None,45.53,4,0,4000,0.05,0.1,2,0.0,0.0,48608.76933647832,100.0,86.4,70738.4306635217,564,0.085,2001,0.5,6,0.12,142,0.0,0,1859,352892694454.853,0,v27
