scenario_id,outcome,v27_hash_share,v27_econ_share,v27_block_share,total_reorgs,total_orphans,duration,final_v26_economic,final_v26_hashrate,final_v26_price,final_v27_economic,final_v27_hashrate,final_v27_price,reorg_mass,total_blocks,v26_blocks,v26_fork_valuation,v26_pool_opportunity_cost,v27_blocks,v27_fork_valuation,v27_pool_opportunity_cost,winning_fork
sweep_0000,v27_dominant,0.8856358645928637,0.5015834170355274,0.7771362586605081,6,0,1800,49.841658296447264,11.25,56156.975326934626,50.15834170355274,87.11999999999999,63764.78467306539,756,866,193,139631511301.6566,5381403.580051899,673,159555329149.22668,0,v27
sweep_0001,v27_dominant,1.0,0.7621724326416383,0.7076222980659841,9,237,1800,23.782756735836173,0.0,53015.613051290995,76.21724326416383,98.36999999999999,66906.146948709,2024,879,257,62900374104.7042,0,622,254393788847.77075,569166.4091287404,v27
sweep_0002,v26_dominant,0.0,0.0,0.09395973154362416,1,73,1800,100.0,98.36999999999999,71226.58758620691,0.0,0.0,48695.1724137931,83,894,810,355327962104.2385,0,84,0.0,0,v26
sweep_0003,v26_dominant,0.0,0.0,0.09427609427609428,1,75,1800,100.0,98.36999999999999,71225.78761795168,0.0,0.0,48695.972382048334,83,891,807,355323971303.8996,0,84,0.0,0,v26
sweep_0004,v26_dominant,0.0,0.8860910127823763,0.0011641443538998836,0,0,1800,11.39089872176237,98.36999999999999,61280.065696073856,88.60910127823763,0.0,58641.69430392615,0,859,858,34822861834.69195,0,1,259222138082.20276,0,v26
sweep_0005,v27_dominant,1.0,0.999637665005516,0.6019736842105263,9,247,1800,0.03623349944840722,0.0,50944.280528370255,99.96376650055159,98.36999999999999,68977.47947162975,2548,912,363,92085862.5974715,0,549,343983157784.2592,4593237.5814839415,v27
sweep_0006,v27_dominant,1.0,0.916521311116027,0.7505643340857788,9,189,1800,8.347868888397297,0.0,50845.54496185681,91.6521311116027,98.36999999999999,69076.2150381432,1980,886,221,21174627199.36527,0,665,315833612304.6819,0,v27
sweep_0007,v26_dominant,0.0,8.835972159936437e-05,0.5190582959641256,7,437,1800,99.99116402784006,98.36999999999999,68093.37476944874,0.008835972159936437,0.0,51828.38523055127,2649,892,429,339667292841.48346,6863138.8212776035,463,22845952.209627,0,v27
sweep_0008,v27_dominant,1.0,0.7621724326416383,0.967741935483871,4,0,1800,23.782756735836173,0.0,51092.510689957155,76.21724326416383,98.36999999999999,68829.24931004285,108,868,28,60618709308.09966,0,840,261705901685.72656,0,v27
sweep_0009,v27_dominant,0.6677848937684253,0.7016741709688209,0.48401323042998895,6,167,1800,29.832582903117906,32.68,56928.549948374144,70.16741709688209,65.69,62993.21005162585,2106,907,468,84724345979.07643,5093658.681843784,439,220504002587.68124,1441315.9001103863,v26
sweep_0010,v27_dominant,1.0,1.0,0.9907407407407407,1,0,1800,0.0,0.0,48068.40855106888,100.0,98.36999999999999,71853.35144893112,7,864,8,0.0,0,856,358454697970.85333,0,v27
sweep_0011,v26_dominant,0.0,0.0,0.19955156950672645,3,168,1800,100.0,98.36999999999999,70443.55930795848,0.0,0.0,49478.20069204152,531,892,714,351421670201.0464,0,178,0.0,0,v26
sweep_0012,v26_dominant,0.0,0.30067963339166637,0.09417040358744394,1,66,1800,69.93203666083336,98.36999999999999,67616.83020575163,30.06796333916664,0.0,52304.92979424838,83,892,808,235894725999.54077,0,84,78457394691.37257,0,v26
sweep_0013,v27_dominant,1.0,0.5012210820410434,0.8983050847457628,6,0,1800,49.87789179589566,0.0,54736.216076921155,50.12210820410434,98.36999999999999,65185.543923078854,534,885,90,136197804553.9169,0,795,162992593595.45844,0,v27
sweep_0014,v27_dominant,1.0,0.702036505963305,0.8295194508009154,8,91,1800,29.796349403669502,0.0,52836.196476031415,70.2036505963305,98.36999999999999,67085.5635239686,1184,874,149,78538364251.79689,0,725,234950306173.2061,0,v27
sweep_0015,v26_dominant,0.0,0.0,0.23702031602708803,4,193,1800,100.0,98.36999999999999,70169.73219003477,0.0,0.0,49752.02780996524,836,886,676,350055629301.4603,0,210,0.0,0,v26
sweep_0016,v26_dominant,0.0,8.835972159936437e-05,0.2562358276643991,2,193,1800,99.99116402784006,98.36999999999999,70028.606660085,0.008835972159936437,0.0,49893.153339915014,369,882,656,349320727989.0075,7553487.176470816,226,21992901.99223454,0,v26
