scenario_id,outcome,economic_split,hashrate_split,pool_ideology_strength,pool_profitability_threshold,pool_max_loss_pct,pool_committed_split,pool_neutral_pct,econ_ideology_strength,user_ideology_strength,v27_hash_share,v27_econ_share,v27_block_share,total_reorgs,total_orphans,duration,econ_inertia,econ_switching_threshold,economic_nodes_per_partition,final_v26_economic,final_v26_hashrate,final_v26_price,final_v27_economic,final_v27_hashrate,final_v27_price,reorg_mass,solo_miner_hashrate,total_blocks,transaction_velocity,user_nodes_per_partition,user_switching_threshold,v26_blocks,v27_blocks,winning_fork
sweep_0029,v27_dominant,0.841,0.592,0.593,0.23,0.389,0.668,25.815,0.355,0.568,1.0,0.5,0.9044394281414597,7,52,2500,0.213,0.162,1,50.0,0.0,54773.77885008785,50.0,98.36999999999999,65147.98114991216,882,0.098,1329,0.754,8,0.187,127,1202,v27
sweep_0030,v26_dominant,0.623,0.37,0.36,0.123,0.46,0.508,31.783,0.5,0.183,0.0,0.5,0.44551645856980704,20,1106,2500,0.238,0.235,1,50.0,98.36999999999999,62788.40002463143,50.0,0.0,57133.35997536858,12357,0.062,1762,0.409,10,0.118,977,785,v26
sweep_0031,v26_dominant,0.55,0.007,0.134,0.255,0.324,0.069,45.696,0.725,0.612,0.0,0.5,0.0008084074373484236,0,0,2500,0.131,0.113,1,50.0,98.36999999999999,65915.61153733941,50.0,0.0,54006.148462660596,0,0.049,1237,0.21,4,0.179,1236,1,v26
sweep_0032,v27_dominant,0.489,0.649,0.163,0.163,0.313,0.69,37.818,0.333,0.752,1.0,0.5,0.9340996168582375,6,0,2500,0.22,0.219,3,50.0,0.0,54522.25446134296,50.0,98.36999999999999,65399.50553865704,510,0.038,1305,0.84,7,0.079,86,1219,v27
sweep_0033,v27_dominant,0.971,0.931,0.403,0.284,0.153,0.776,40.849,0.766,0.728,1.0,0.5,0.9832402234636871,3,0,2500,0.183,0.026,3,50.0,0.0,54129.48209393649,50.0,98.36999999999999,65792.27790606351,60,0.105,1253,0.296,4,0.197,21,1232,v27
sweep_0034,v26_dominant,0.467,0.452,0.17,0.035,0.286,0.555,17.871,0.523,0.283,0.0,0.5,0.10932721712538226,2,128,2500,0.137,0.212,3,50.0,98.36999999999999,65049.52429648674,50.0,0.0,54872.23570351326,284,0.057,1308,0.261,4,0.105,1165,143,v26
sweep_0035,v27_dominant,0.984,0.554,0.807,0.181,0.087,0.469,13.19,0.617,0.885,1.0,0.5,0.9037593984962407,7,38,2500,0.081,0.095,1,50.0,0.0,54768.976088565956,50.0,98.36999999999999,65152.78391143405,889,0.149,1330,0.772,2,0.083,128,1202,v27
sweep_0036,v27_dominant,0.304,0.742,0.546,0.138,0.103,0.841,32.937,0.693,0.135,1.0,0.5,0.9557109557109557,5,0,2500,0.059,0.249,2,50.0,0.0,54348.19790091039,50.0,98.36999999999999,65573.56209908961,280,0.11,1287,0.188,8,0.15,57,1230,v27
sweep_0037,v27_dominant,0.412,0.833,0.621,0.044,0.4,0.749,13.32,0.408,0.785,1.0,0.5,0.9777777777777777,4,0,2500,0.101,0.205,2,50.0,0.0,54173.98042197353,50.0,98.36999999999999,65747.77957802649,108,0.045,1260,0.716,5,0.164,28,1232,v27
sweep_0038,v26_dominant,0.446,0.324,0.848,0.236,0.421,0.143,23.6,0.081,0.272,0.0,0.5,0.06269113149847094,1,72,2500,0.262,0.087,3,50.0,98.36999999999999,65429.356459395865,50.0,0.0,54492.40354060414,81,0.091,1308,0.854,10,0.138,1226,82,v26
